t,drop_rate,backlog,throughput_mbps,drops_total,state,target_ms,interval_ms,limit
27.28,5196.0340,456,9.998,293187,HEAVY,2.3619600000000007,50,487
27.78,4836.7557,441,9.998,295632,HEAVY,2.3619600000000007,50,487
28.29,5642.1750,449,9.998,298487,HEAVY,2.3619600000000007,50,487
28.80,5339.0049,442,10.000,301184,HEAVY,2.3619600000000007,50,487
29.30,6146.8952,467,10.000,304293,HEAVY,2.3619600000000007,50,487
29.80,6389.0377,400,10.008,307511,HEAVY,2.3619600000000007,50,487
30.31,6903.2221,372,9.996,311017,HEAVY,2.1257640000000007,50,438
30.82,8281.6440,414,10.001,315197,HEAVY,2.1257640000000007,50,438
31.32,9404.6151,412,10.000,319950,HEAVY,2.1257640000000007,50,438
31.83,8945.3434,418,10.000,324473,HEAVY,2.1257640000000007,50,438
32.33,10010.2153,408,10.003,329526,HEAVY,2.1257640000000007,50,438
32.84,6685.9761,413,9.995,332901,HEAVY,2.1257640000000007,50,438
33.34,7656.9114,396,10.005,336758,HEAVY,2.1257640000000007,50,438
33.85,8065.8551,409,9.994,340836,HEAVY,2.1257640000000007,50,438
34.35,5747.3818,395,10.003,343735,HEAVY,2.1257640000000007,50,438
34.86,5739.6836,392,9.992,346632,HEAVY,2.1257640000000007,50,438
35.37,10955.6833,368,10.009,352203,HEAVY,1.9131876000000005,50,394
35.87,11103.1169,362,9.999,357804,HEAVY,1.9131876000000005,50,394
36.37,10550.5933,379,10.000,363125,HEAVY,1.9131876000000005,50,394
36.88,8528.0300,364,10.000,367427,HEAVY,1.9131876000000005,50,394
37.38,9154.1883,385,9.997,372059,HEAVY,1.9131876000000005,50,394
37.89,9380.1568,373,9.999,376804,HEAVY,1.9131876000000005,50,394
38.40,9789.5751,0,9.998,381755,HEAVY,1.9131876000000005,50,394
38.90,10005.6390,379,10.005,386801,HEAVY,1.9131876000000005,50,394
39.40,9930.6342,387,9.998,391813,HEAVY,1.9131876000000005,50,394
39.91,9293.2892,392,10.000,396514,HEAVY,1.9131876000000005,50,394
40.42,12354.9211,335,10.004,402797,HEAVY,1.7218688400000006,50,354
40.92,13106.6484,343,10.003,409405,HEAVY,1.7218688400000006,50,354
41.43,12091.6822,332,9.995,415508,HEAVY,1.7218688400000006,50,354
41.93,11110.5477,330,10.000,421121,HEAVY,1.7218688400000006,50,354
42.44,11252.2448,335,9.999,426793,HEAVY,1.7218688400000006,50,354
42.94,7582.8338,339,10.001,430619,HEAVY,1.7218688400000006,50,354
43.45,11113.4476,340,10.002,436222,HEAVY,1.7218688400000006,50,354
43.95,11674.3730,343,9.998,442110,HEAVY,1.7218688400000006,50,354
44.45,9246.0573,324,10.005,446771,HEAVY,1.7218688400000006,50,354
44.96,8934.5281,328,9.997,451278,HEAVY,1.7218688400000006,50,354
45.47,12375.1104,311,10.001,457549,HEAVY,1.5496819560000006,50,318
45.97,11462.2598,299,10.002,463325,HEAVY,1.5496819560000006,50,318
46.47,10018.3860,301,9.998,468367,HEAVY,1.5496819560000006,50,318
46.98,10004.8289,297,10.000,473403,HEAVY,1.5496819560000006,50,318
47.48,12712.7556,298,10.002,479806,HEAVY,1.5496819560000006,50,318
47.98,13709.1918,308,9.998,486712,HEAVY,1.5496819560000006,50,318
48.49,14296.1670,291,10.001,493913,HEAVY,1.5496819560000006,50,318
48.99,14730.2759,311,9.998,501327,HEAVY,1.5496819560000006,50,318
49.49,14494.1612,311,10.000,508625,HEAVY,1.5496819560000006,50,318
50.00,14368.2665,310,10.002,515857,HEAVY,1.5496819560000006,50,318
50.50,18191.7125,258,9.998,525065,HEAVY,1.3947137604000006,50,286
51.01,17937.7635,259,9.998,534095,HEAVY,1.3947137604000006,50,286
51.51,18524.2841,277,10.004,543419,HEAVY,1.3947137604000006,50,286
52.01,17865.4953,280,9.997,552423,HEAVY,1.3947137604000006,50,286
52.52,17892.5204,284,10.000,561441,HEAVY,1.3947137604000006,50,286
53.02,16353.2402,271,9.998,569696,HEAVY,1.3947137604000006,50,286
53.53,17467.5908,285,10.003,578496,HEAVY,1.3947137604000006,50,286
54.03,17544.1050,280,9.999,587359,HEAVY,1.3947137604000006,50,286
54.54,18606.4915,282,10.001,596727,HEAVY,1.3947137604000006,50,286
55.04,15891.7505,270,9.999,604743,HEAVY,1.3947137604000006,50,286
55.55,20316.7053,234,10.001,615053,HEAVY,1.2552423843600007,50,257
56.05,21220.2036,249,9.997,625747,HEAVY,1.2552423843600007,50,257
56.56,19871.6415,243,10.004,635757,HEAVY,1.2552423843600007,50,257
57.06,13452.6681,253,9.999,642542,HEAVY,1.2552423843600007,50,257
57.56,17062.2285,238,10.001,651135,HEAVY,1.2552423843600007,50,257
58.07,17677.3352,243,10.003,660030,HEAVY,1.2552423843600007,50,257
58.57,18001.2280,242,9.996,669089,HEAVY,1.2552423843600007,50,257
59.07,16027.9093,246,9.999,677173,HEAVY,1.2552423843600007,50,257
59.58,17923.2550,249,10.004,686192,HEAVY,1.2552423843600007,50,257
60.08,20007.6728,240,9.997,696268,HEAVY,1.2552423843600007,50,257
60.59,19944.9294,253,9.999,706392,HEAVY,1.1297181459240007,50,256
61.09,20157.3914,240,10.003,716557,HEAVY,1.1297181459240007,50,256
61.60,23117.8700,235,10.002,728193,HEAVY,1.1297181459240007,50,256
62.10,18757.0457,251,10.000,737646,HEAVY,1.1297181459240007,50,256
62.60,14766.7971,252,9.996,745090,HEAVY,1.1297181459240007,50,256
63.11,11643.4414,254,10.004,750953,HEAVY,1.1297181459240007,50,256
63.61,14247.3334,250,9.997,758143,HEAVY,1.1297181459240007,50,256
64.12,13216.3084,243,9.998,764829,HEAVY,1.1297181459240007,50,256
64.62,14117.9434,249,9.999,771961,HEAVY,1.1297181459240007,50,256
65.13,15055.8248,229,10.004,779550,HEAVY,1.1297181459240007,50,256
65.64,16320.2950,245,9.999,787836,HEAVY,1.0167463313316005,50,256
66.14,17197.4723,249,10.004,796484,HEAVY,1.0167463313316005,50,256
66.64,19209.7080,241,9.997,806171,HEAVY,1.0167463313316005,50,256
67.15,19739.1567,244,9.999,816122,HEAVY,1.0167463313316005,50,256
67.65,22693.2986,244,10.000,827554,HEAVY,1.0167463313316005,50,256
68.16,22984.9362,241,9.999,839153,HEAVY,1.0167463313316005,50,256
68.66,20902.1871,247,10.001,849673,HEAVY,1.0167463313316005,50,256
69.16,19182.5701,253,10.003,859332,HEAVY,1.0167463313316005,50,256
69.67,14587.0229,247,9.998,866681,HEAVY,1.0167463313316005,50,256
70.17,14530.7567,239,9.999,874014,HEAVY,1.0167463313316005,50,256
70.68,16343.5603,252,9.997,882329,HEAVY,1,50,256
71.18,11704.1621,246,10.005,888220,HEAVY,1,50,256
71.69,11927.7723,250,10.000,894226,HEAVY,1,50,256
72.19,16440.4781,245,10.001,902504,HEAVY,1,50,256
72.69,16864.4113,253,10.000,910997,HEAVY,1,50,256
73.20,17427.1918,248,9.998,919792,HEAVY,1,50,256
73.70,19311.9444,245,10.000,929528,HEAVY,1,50,256
74.21,19639.4981,247,10.005,939416,HEAVY,1,50,256
74.71,18101.2094,247,9.998,948553,HEAVY,1,50,256
75.21,17528.5485,235,9.999,957379,HEAVY,1,50,256
75.72,18712.7968,255,10.000,966801,HEAVY,1,50,256
76.22,16911.3462,255,10.000,975311,HEAVY,1,50,256
76.72,16630.5641,244,9.994,983700,HEAVY,1,50,256
77.23,16996.2675,256,10.008,992252,HEAVY,1,50,256
77.73,17406.0931,239,9.999,1001010,HEAVY,1,50,256
78.24,19219.8846,248,9.997,1010701,HEAVY,1,50,256
78.74,20781.7832,253,10.002,1021166,HEAVY,1,50,256
79.24,19891.8938,236,9.996,1031203,HEAVY,1,50,256
79.75,20775.0354,249,10.005,1041659,HEAVY,1,50,256
80.25,18428.0686,245,9.993,1050972,HEAVY,1,50,256
80.76,17391.9358,243,10.003,1059749,HEAVY,1,50,256
81.26,19225.0848,239,9.997,1069464,HEAVY,1,50,256
81.77,20678.0987,254,10.006,1079877,HEAVY,1,50,256
82.27,17241.4900,240,9.996,1088565,HEAVY,1,50,256
82.77,17345.5728,252,10.001,1097304,HEAVY,1,50,256
83.28,18111.3343,235,9.999,1106430,HEAVY,1,50,256
83.78,18770.6970,249,10.003,1115877,HEAVY,1,50,256
84.28,18586.7290,253,9.998,1125246,HEAVY,1,50,256
84.79,18501.6089,241,10.002,1134558,HEAVY,1,50,256
85.29,19901.4502,253,9.998,1144594,HEAVY,1,50,256
85.80,17795.1258,254,10.002,1153552,HEAVY,1,50,256
86.30,19466.5899,233,9.999,1163362,HEAVY,1,50,256
86.80,21605.2222,251,10.003,1174236,HEAVY,1,50,256
87.31,21254.5771,250,9.998,1184949,HEAVY,1,50,256
87.81,19609.1154,243,10.000,1194846,HEAVY,1,50,256
88.32,9.8524,0,0.386,1194851,MODERATE,1,50,256
88.83,0.0000,0,0.000,1194851,NORMAL,1,50,256
89.34,0.0000,0,0.000,1194851,NORMAL,1,50,256
89.85,0.0000,0,0.000,1194851,NORMAL,1,50,256
90.35,0.0000,0,0.000,1194851,NORMAL,1,50,256
90.86,0.0000,0,0.000,1194851,NORMAL,1,50,256
91.37,0.0000,0,0.000,1194851,NORMAL,1,50,256
91.88,0.0000,0,0.000,1194851,NORMAL,1,50,256
92.39,0.0000,0,0.000,1194851,NORMAL,1,50,256
92.89,0.0000,0,0.000,1194851,NORMAL,1,50,256
