t_s,drop_rate_per_s,drops_experiment,backlog_pkts,throughput_mbps,state,active_flows,elephant_flows,target_ms,interval_ms,limit_pkts,ebpf_mode
34.35,4509.5405,155233,413,10.0006,HEAVY,0,0,2.66,53.1,542,tc-only
34.85,4789.2747,157648,424,10.0029,HEAVY,0,0,2.66,53.1,542,tc-only
35.36,5145.6764,160240,370,10.0008,HEAVY,0,0,2.66,53.1,542,tc-only
35.86,5700.2721,163131,421,10.0006,HEAVY,0,0,2.39,50.0,487,tc-only
36.37,4983.7234,165639,414,10.0031,HEAVY,0,0,2.39,50.0,487,tc-only
36.87,4694.1717,168003,420,9.9969,HEAVY,0,0,2.39,50.0,487,tc-only
37.37,4916.1474,170478,415,10.0011,HEAVY,0,0,2.39,50.0,487,tc-only
37.88,4871.3687,172933,415,10.0002,HEAVY,0,0,2.39,50.0,487,tc-only
38.38,5080.2947,175489,393,10.0023,HEAVY,0,0,2.39,50.0,487,tc-only
38.89,5290.3173,178164,367,9.9932,HEAVY,0,0,2.39,50.0,487,tc-only
39.39,5178.1261,180771,398,10.0049,HEAVY,0,0,2.39,50.0,487,tc-only
39.89,4642.3603,183108,430,10.0018,HEAVY,0,0,2.39,50.0,487,tc-only
40.40,4884.2783,185567,407,9.9978,HEAVY,0,0,2.39,50.0,487,tc-only
40.90,5454.9783,188331,424,9.9995,HEAVY,0,0,2.15,50.0,438,tc-only
41.41,4889.3778,190794,384,10.0004,HEAVY,0,0,2.15,50.0,438,tc-only
41.91,4716.2473,193167,406,10.0016,HEAVY,0,0,2.15,50.0,438,tc-only
42.41,4990.4035,195678,408,9.9993,HEAVY,0,0,2.15,50.0,438,tc-only
42.92,5692.4288,198541,409,10.0005,HEAVY,0,0,2.15,50.0,438,tc-only
43.42,7079.8987,202114,416,9.9957,HEAVY,0,0,2.15,50.0,438,tc-only
43.93,4475.6772,204365,358,10.0027,HEAVY,0,0,2.15,50.0,438,tc-only
44.43,5436.4582,207100,399,10.0020,HEAVY,0,0,2.15,50.0,438,tc-only
44.93,5053.4693,209642,389,9.9990,HEAVY,0,0,2.15,50.0,438,tc-only
45.43,4615.0529,211964,389,9.9999,HEAVY,0,0,2.15,50.0,438,tc-only
45.94,9349.2487,216691,356,10.0014,HEAVY,0,0,1.94,50.0,394,tc-only
46.45,9180.0944,221331,377,9.9952,HEAVY,0,0,1.94,50.0,394,tc-only
46.95,9032.3125,225884,375,10.0011,HEAVY,0,0,1.94,50.0,394,tc-only
47.46,6156.1290,228996,370,9.9957,HEAVY,0,0,1.94,50.0,394,tc-only
47.96,5823.7161,231940,368,10.0019,HEAVY,0,0,1.94,50.0,394,tc-only
48.46,5710.0332,234819,374,10.0065,HEAVY,0,0,1.94,50.0,394,tc-only
48.97,6077.7662,237880,374,9.9931,HEAVY,0,0,1.94,50.0,394,tc-only
49.47,5584.1596,240690,381,10.0047,HEAVY,0,0,1.94,50.0,394,tc-only
49.98,6947.9040,244192,367,9.9988,HEAVY,0,0,1.94,50.0,394,tc-only
50.48,7036.3159,247733,371,10.0012,HEAVY,0,0,1.94,50.0,394,tc-only
50.99,12930.2487,254278,335,9.9995,HEAVY,0,0,1.74,50.0,354,tc-only
51.49,7255.7673,257933,0,10.0009,HEAVY,0,0,1.74,50.0,354,tc-only
51.99,5721.4426,260814,334,9.9996,HEAVY,0,0,1.74,50.0,354,tc-only
52.50,5865.0043,263768,332,9.9977,HEAVY,0,0,1.74,50.0,354,tc-only
53.00,7543.9230,267566,327,10.0010,HEAVY,0,0,1.74,50.0,354,tc-only
53.50,8294.3052,271741,335,9.9997,HEAVY,0,0,1.74,50.0,354,tc-only
54.01,6532.4206,275034,340,9.9996,HEAVY,0,0,1.74,50.0,354,tc-only
54.51,7800.2629,278963,339,9.9992,HEAVY,0,0,1.74,50.0,354,tc-only
55.01,7944.8482,282964,320,10.0002,HEAVY,0,0,1.74,50.0,354,tc-only
55.52,8319.7062,287152,342,10.0013,HEAVY,0,0,1.74,50.0,354,tc-only
56.02,13495.3889,293978,299,10.0025,HEAVY,0,0,1.57,50.0,318,tc-only
56.53,14428.7684,301235,296,10.0004,HEAVY,0,0,1.57,50.0,318,tc-only
57.03,9179.4689,305855,316,9.9988,HEAVY,0,0,1.57,50.0,318,tc-only
57.53,9267.3243,310523,308,9.9967,HEAVY,0,0,1.57,50.0,318,tc-only
58.04,10882.4979,316007,296,10.0030,HEAVY,0,0,1.57,50.0,318,tc-only
58.54,11155.4180,321619,303,10.0001,HEAVY,0,0,1.57,50.0,318,tc-only
59.04,11327.6398,327321,315,10.0002,HEAVY,0,0,1.57,50.0,318,tc-only
59.55,11073.7814,332893,301,10.0003,HEAVY,0,0,1.57,50.0,318,tc-only
60.05,12078.4005,338977,305,9.9959,HEAVY,0,0,1.57,50.0,318,tc-only
60.55,8891.6737,343461,304,10.0002,HEAVY,0,0,1.57,50.0,318,tc-only
61.06,11551.6778,349309,281,10.0047,HEAVY,0,0,1.41,50.0,286,tc-only
61.56,12696.0204,355702,256,9.9981,HEAVY,0,0,1.41,50.0,286,tc-only
62.07,14396.7427,362951,286,9.9976,HEAVY,0,0,1.41,50.0,286,tc-only
62.57,14786.4157,370394,271,10.0037,HEAVY,0,0,1.41,50.0,286,tc-only
63.08,16072.0936,378486,271,9.9991,HEAVY,0,0,1.41,50.0,286,tc-only
63.58,16936.7006,387014,261,9.9954,HEAVY,0,0,1.41,50.0,286,tc-only
64.08,15540.2480,394839,277,10.0057,HEAVY,0,0,1.41,50.0,286,tc-only
64.59,12956.8716,401362,270,9.9956,HEAVY,0,0,1.41,50.0,286,tc-only
65.09,14549.4428,408686,267,10.0023,HEAVY,0,0,1.41,50.0,286,tc-only
65.59,14230.8837,415845,273,10.0023,HEAVY,0,0,1.41,50.0,286,tc-only
66.10,17400.5202,424650,251,9.9982,HEAVY,0,0,1.27,50.0,257,tc-only
66.60,18218.9183,433836,254,9.9968,HEAVY,0,0,1.27,50.0,257,tc-only
67.11,15052.7960,441415,242,10.0059,HEAVY,0,0,1.27,50.0,257,tc-only
67.61,16844.5465,449896,254,9.9961,HEAVY,0,0,1.27,50.0,257,tc-only
68.11,17554.7305,458738,243,10.0022,HEAVY,0,0,1.27,50.0,257,tc-only
68.62,15996.0769,466794,246,10.0001,HEAVY,0,0,1.27,50.0,257,tc-only
69.12,15102.5685,474399,247,9.9999,HEAVY,0,0,1.27,50.0,257,tc-only
69.62,14700.1861,481794,246,9.9994,HEAVY,0,0,1.27,50.0,257,tc-only
70.13,15983.5738,489837,245,10.0006,HEAVY,0,0,1.27,50.0,257,tc-only
70.63,17344.6876,498564,239,10.0000,HEAVY,0,0,1.27,50.0,257,tc-only
71.14,17767.0601,507574,237,9.9974,HEAVY,0,0,1.14,50.0,256,tc-only
71.64,17349.9676,516308,243,10.0009,HEAVY,0,0,1.14,50.0,256,tc-only
72.14,14677.1256,523708,234,10.0000,HEAVY,0,0,1.14,50.0,256,tc-only
72.65,13247.2114,530397,240,9.9970,HEAVY,0,0,1.14,50.0,256,tc-only
73.15,13270.3478,537077,247,10.0047,HEAVY,0,0,1.14,50.0,256,tc-only
73.66,14577.8365,544421,236,9.9963,HEAVY,0,0,1.14,50.0,256,tc-only
74.16,14102.6478,551531,222,10.0026,HEAVY,0,0,1.14,50.0,256,tc-only
74.66,14860.9443,559017,229,10.0003,HEAVY,0,0,1.14,50.0,256,tc-only
75.17,16210.2428,567179,242,10.0011,HEAVY,0,0,1.14,50.0,256,tc-only
75.67,17167.8064,575825,247,9.9956,HEAVY,0,0,1.14,50.0,256,tc-only
76.18,16411.2618,584147,232,10.0000,HEAVY,0,0,1.03,50.0,256,tc-only
76.68,15992.3960,592206,245,9.9989,HEAVY,0,0,1.03,50.0,256,tc-only
77.19,14951.5959,599734,249,10.0033,HEAVY,0,0,1.03,50.0,256,tc-only
77.69,12786.9744,606185,254,9.9983,HEAVY,0,0,1.03,50.0,256,tc-only
78.20,16216.6286,614390,240,9.9948,HEAVY,0,0,1.03,50.0,256,tc-only
78.70,16620.6824,622768,239,10.0075,HEAVY,0,0,1.03,50.0,256,tc-only
79.20,15775.2922,630706,240,9.9998,HEAVY,0,0,1.03,50.0,256,tc-only
79.71,15696.6381,638636,247,9.9938,HEAVY,0,0,1.03,50.0,256,tc-only
80.22,17373.2701,647441,245,10.0003,HEAVY,0,0,1.03,50.0,256,tc-only
80.72,17977.3888,656500,232,10.0044,HEAVY,0,0,1.03,50.0,256,tc-only
81.22,20742.0852,666954,244,10.0022,HEAVY,0,0,1.03,50.0,256,tc-only
81.73,20689.7686,677373,243,9.9985,HEAVY,0,0,1.03,50.0,256,tc-only
82.23,21641.9765,688272,254,10.0034,HEAVY,0,0,1.03,50.0,256,tc-only
82.73,19426.1105,698053,251,9.9969,HEAVY,0,0,1.03,50.0,256,tc-only
83.24,20961.5203,708597,242,10.0037,HEAVY,0,0,1.03,50.0,256,tc-only
83.74,23037.6278,720197,253,9.9953,HEAVY,0,0,1.03,50.0,256,tc-only
84.25,3237.2529,721838,0,2.2724,HEAVY,0,0,1.03,50.0,256,tc-only
84.76,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
85.26,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
85.77,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
86.28,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
86.79,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
87.29,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
87.80,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
88.31,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
88.81,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
89.32,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
89.83,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
90.34,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
90.85,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
91.36,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
91.87,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
92.38,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
92.88,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
93.39,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
93.90,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
94.40,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
94.91,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
95.42,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
95.92,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
96.43,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
96.94,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
97.45,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
97.95,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
98.46,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
98.97,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
99.47,0.0000,721838,0,0.0000,NORMAL,0,0,1.03,50.0,256,tc-only
