t_s,drop_rate_per_s,drops_experiment,backlog_pkts,throughput_mbps,state,target_ms,interval_ms,limit_pkts
18.14,4533.7472,75266,430,10.0003,HEAVY,3.65,72.9,745
18.64,4904.0204,77735,412,9.9997,HEAVY,3.65,72.9,745
19.15,5069.6568,80288,400,9.9977,HEAVY,3.65,72.9,745
19.65,5488.9338,83052,391,10.0020,HEAVY,3.65,72.9,745
20.15,5731.2664,85938,403,9.9969,HEAVY,3.65,72.9,745
20.66,6408.5587,89185,395,10.0021,HEAVY,3.28,65.6,670
21.16,6830.6229,92628,403,9.9985,HEAVY,3.28,65.6,670
21.67,7305.4369,96306,377,10.0018,HEAVY,3.28,65.6,670
22.17,7045.9200,99851,402,10.0011,HEAVY,3.28,65.6,670
22.67,7022.5202,103386,392,9.9982,HEAVY,3.28,65.6,670
23.18,7380.7347,107104,395,9.9994,HEAVY,3.28,65.6,670
23.68,7544.6047,110905,433,10.0015,HEAVY,3.28,65.6,670
24.18,6902.0957,114378,431,10.0022,HEAVY,3.28,65.6,670
24.69,6977.8735,117890,407,9.9976,HEAVY,3.28,65.6,670
25.19,6681.2798,121253,452,10.0020,HEAVY,3.28,65.6,670
25.70,6536.9983,124563,421,10.0003,HEAVY,2.95,59.0,603
26.20,7044.0329,128114,418,9.9993,HEAVY,2.95,59.0,603
26.71,7403.6732,131842,446,9.9993,HEAVY,2.95,59.0,603
27.21,7647.9100,135695,437,10.0004,HEAVY,2.95,59.0,603
27.71,8548.8155,140004,439,9.9986,HEAVY,2.95,59.0,603
28.22,8046.9452,144059,413,10.0001,HEAVY,2.95,59.0,603
28.72,7285.7170,147726,419,10.0018,HEAVY,2.95,59.0,603
29.22,6808.3707,151153,442,10.0009,HEAVY,2.95,59.0,603
29.73,6789.6567,154572,408,9.9967,HEAVY,2.95,59.0,603
30.23,7052.6909,158124,412,9.9994,HEAVY,2.95,59.0,603
30.74,7694.9277,162023,392,10.0007,HEAVY,2.66,53.1,542
31.24,6597.4758,165344,0,10.0015,HEAVY,2.66,53.1,542
31.74,6710.0632,168722,472,9.9994,HEAVY,2.66,53.1,542
32.25,6826.1969,172161,462,9.9931,HEAVY,2.66,53.1,542
32.75,7182.8165,175777,436,10.0089,HEAVY,2.66,53.1,542
33.26,7743.1667,179676,449,9.9982,HEAVY,2.66,53.1,542
33.76,7908.7633,183658,427,9.9991,HEAVY,2.66,53.1,542
34.26,7458.6161,187411,466,10.0035,HEAVY,2.66,53.1,542
34.77,7242.9636,191055,425,9.9973,HEAVY,2.66,53.1,542
35.27,6304.9136,194227,430,10.0017,HEAVY,2.66,53.1,542
35.77,7026.4257,197784,454,9.9951,HEAVY,2.39,50.0,487
36.28,7230.3774,201425,404,10.0028,HEAVY,2.39,50.0,487
36.78,7525.1870,205219,418,9.9992,HEAVY,2.39,50.0,487
37.29,8235.0070,209365,430,10.0008,HEAVY,2.39,50.0,487
37.79,8941.2453,213867,425,10.0009,HEAVY,2.39,50.0,487
38.29,7676.3587,217733,397,9.9998,HEAVY,2.39,50.0,487
38.80,7948.2326,221736,401,9.9974,HEAVY,2.39,50.0,487
39.30,7810.0342,225670,433,10.0032,HEAVY,2.39,50.0,487
39.80,8192.6051,229795,401,10.0000,HEAVY,2.39,50.0,487
40.31,9164.7010,234408,415,10.0021,HEAVY,2.39,50.0,487
40.81,10121.2152,239524,406,9.9986,HEAVY,2.15,50.0,438
41.32,10271.0986,244696,399,10.0003,HEAVY,2.15,50.0,438
41.82,7934.2138,248689,430,9.9995,HEAVY,2.15,50.0,438
42.32,12021.4888,254742,405,9.9997,HEAVY,2.15,50.0,438
42.83,6795.0264,258165,408,9.9929,HEAVY,2.15,50.0,438
43.33,7446.7297,261915,421,10.0069,HEAVY,2.15,50.0,438
43.83,8975.8201,266434,410,9.9988,HEAVY,2.15,50.0,438
44.34,9123.6981,271029,406,9.9995,HEAVY,2.15,50.0,438
44.84,8119.1830,275116,405,9.9993,HEAVY,2.15,50.0,438
45.34,7483.1348,278883,433,10.0031,HEAVY,2.15,50.0,438
45.85,11702.1185,284815,366,10.0000,HEAVY,1.94,50.0,394
46.35,10024.4210,289859,371,9.9999,HEAVY,1.94,50.0,394
46.86,6984.1797,293373,369,10.0011,HEAVY,1.94,50.0,394
47.36,6102.5935,296444,367,9.9974,HEAVY,1.94,50.0,394
47.86,8830.7111,300894,373,9.9958,HEAVY,1.94,50.0,394
48.37,6230.3344,304031,380,10.0052,HEAVY,1.94,50.0,394
48.87,7648.6276,307882,369,9.9992,HEAVY,1.94,50.0,394
49.38,9189.0716,312511,383,9.9982,HEAVY,1.94,50.0,394
49.88,10639.5802,317869,377,10.0013,HEAVY,1.94,50.0,394
50.38,11731.6299,323775,352,10.0036,HEAVY,1.94,50.0,394
50.89,16530.3574,332140,342,9.9999,HEAVY,1.74,50.0,354
51.39,18445.2881,341427,319,9.9983,HEAVY,1.74,50.0,354
51.90,15458.8457,349230,350,9.9964,HEAVY,1.74,50.0,354
52.40,16518.9237,357563,336,10.0021,HEAVY,1.74,50.0,354
52.90,12233.3991,363729,337,10.0010,HEAVY,1.74,50.0,354
53.41,12397.0981,369990,334,9.9957,HEAVY,1.74,50.0,354
53.92,7863.6431,373969,339,10.0028,HEAVY,1.74,50.0,354
54.42,5068.3845,376540,338,9.9945,HEAVY,1.74,50.0,354
54.93,6109.8514,379624,335,10.0054,HEAVY,1.74,50.0,354
55.43,6042.9726,382677,336,9.9950,HEAVY,1.74,50.0,354
55.94,10177.9995,387849,311,10.0040,HEAVY,1.57,50.0,318
56.45,12615.1567,394221,304,9.9985,HEAVY,1.57,50.0,318
56.95,13255.2174,400901,299,10.0026,HEAVY,1.57,50.0,318
57.46,12614.0430,407269,294,9.9976,HEAVY,1.57,50.0,318
57.96,12836.1369,413735,294,10.0048,HEAVY,1.57,50.0,318
58.46,13924.9194,420752,299,9.9991,HEAVY,1.57,50.0,318
58.97,14180.2025,427917,301,9.9940,HEAVY,1.57,50.0,318
59.47,15426.6808,435678,314,10.0061,HEAVY,1.57,50.0,318
59.97,15744.5485,443603,309,9.9999,HEAVY,1.57,50.0,318
60.48,15585.4452,451459,308,9.9973,HEAVY,1.57,50.0,318
60.99,18758.7631,460994,285,9.9992,HEAVY,1.41,50.0,286
61.49,19469.9322,470806,265,10.0025,HEAVY,1.41,50.0,286
62.00,20073.7260,480927,283,9.9978,HEAVY,1.41,50.0,286
62.50,18360.0298,490166,273,10.0026,HEAVY,1.41,50.0,286
63.00,17963.1832,499212,280,9.9985,HEAVY,1.41,50.0,286
63.51,17894.8352,508226,284,9.9977,HEAVY,1.41,50.0,286
64.01,17495.6069,517031,276,10.0036,HEAVY,1.41,50.0,286
64.51,15620.6895,524901,268,10.0014,HEAVY,1.41,50.0,286
65.02,13461.5506,531684,263,9.9977,HEAVY,1.41,50.0,286
65.52,10521.2282,536979,272,10.0026,HEAVY,1.41,50.0,286
66.03,14114.7836,544128,244,9.9969,HEAVY,1.27,50.0,257
66.53,16183.8811,552284,241,9.9983,HEAVY,1.27,50.0,257
67.03,14251.1850,559455,251,10.0034,HEAVY,1.27,50.0,257
67.54,14850.1177,566956,236,9.9963,HEAVY,1.27,50.0,257
68.04,16317.0328,575168,236,10.0044,HEAVY,1.27,50.0,257
68.55,16046.5218,583241,253,9.9996,HEAVY,1.27,50.0,257
69.05,18969.0222,592831,246,9.9910,HEAVY,1.27,50.0,257
69.55,19482.8108,602658,246,10.0064,HEAVY,1.27,50.0,257
70.06,20954.9839,613214,237,9.9993,HEAVY,1.27,50.0,257
70.56,21302.0937,623940,240,9.9996,HEAVY,1.27,50.0,257
71.07,19470.0373,633812,249,10.0011,HEAVY,1.14,50.0,256
71.57,20466.1631,644131,239,10.0010,HEAVY,1.14,50.0,256
72.08,19361.2407,653881,248,9.9994,HEAVY,1.14,50.0,256
72.58,17878.9621,662882,251,10.0022,HEAVY,1.14,50.0,256
73.08,20044.3093,672973,247,9.9975,HEAVY,1.14,50.0,256
73.59,18864.6290,682476,240,10.0017,HEAVY,1.14,50.0,256
74.09,12584.9669,688833,253,9.9950,HEAVY,1.14,50.0,256
74.60,12059.8938,694908,239,10.0051,HEAVY,1.14,50.0,256
75.10,16014.9884,702970,245,10.0015,HEAVY,1.14,50.0,256
75.60,15037.8547,710540,252,9.9985,HEAVY,1.14,50.0,256
76.11,15163.2805,718218,248,10.0010,HEAVY,1.03,50.0,256
76.61,18227.6098,727417,232,9.9866,HEAVY,1.03,50.0,256
77.12,17076.3579,736021,238,10.0097,HEAVY,1.03,50.0,256
77.62,15737.8774,743956,244,10.0019,HEAVY,1.03,50.0,256
78.13,15896.1729,751961,243,10.0026,HEAVY,1.03,50.0,256
78.63,16433.3684,760236,253,9.9970,HEAVY,1.03,50.0,256
79.13,16130.7085,768357,251,10.0002,HEAVY,1.03,50.0,256
79.64,18576.5901,777721,250,10.0001,HEAVY,1.03,50.0,256
80.14,20379.6930,787987,247,9.9988,HEAVY,1.03,50.0,256
80.64,19125.2979,797612,248,10.0037,HEAVY,1.03,50.0,256
81.15,20059.8295,807722,230,9.9965,HEAVY,1.03,50.0,256
81.65,20959.3164,818293,248,9.9998,HEAVY,1.03,50.0,256
82.16,20845.7112,828822,247,9.9936,HEAVY,1.03,50.0,256
82.66,19586.6618,838685,248,10.0086,HEAVY,1.03,50.0,256
83.16,22499.3500,850010,238,9.9999,HEAVY,1.03,50.0,256
83.67,22490.3594,861329,235,10.0001,HEAVY,1.03,50.0,256
84.17,17031.5034,869908,243,9.9989,HEAVY,1.03,50.0,256
84.68,13907.0303,876917,255,9.9978,HEAVY,1.03,50.0,256
