t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
154.7,21,31794,5.0,993,1514,177.1,4.99,47.13
155.7,17,25738,5.0,993,1514,204.1,5.005,38.04
156.7,25,37850,5.0,993,1514,196.8,4.997,56.03
157.7,14,21196,5.0,993,1514,209.0,5.002,31.35
158.7,16,24224,5.0,993,1514,181.4,4.997,35.86
159.7,15,22710,5.0,993,1514,187.0,4.999,33.61
160.7,21,31794,5.0,993,1514,172.1,5.001,47.03
161.7,15,22710,5.0,993,1514,197.4,5.01,33.53
162.7,17,25738,5.0,993,1514,160.5,4.997,38.1
163.7,0,0,5.0,993,1514,178.3,4.996,0.0
164.7,12,18168,5.0,993,1514,206.0,5.002,26.87
165.7,19,28766,5.0,993,1514,198.3,4.997,42.59
166.7,22,33308,5.0,993,1514,197.1,5.004,49.24
167.7,16,24224,5.0,993,1514,205.3,4.998,35.85
168.7,15,22710,5.0,993,1514,193.2,5.005,33.57
169.7,17,25738,5.0,993,1514,191.3,4.995,38.12
170.7,9,13626,5.0,993,1514,181.2,5.005,20.14
171.7,0,0,5.0,993,1514,197.4,4.998,0.0
172.7,14,21196,5.0,993,1514,209.1,4.994,31.4
173.7,17,25738,5.0,993,1514,197.0,5.0,38.08
174.8,15,22710,5.0,993,1514,198.9,4.998,33.61
175.8,24,36336,5.0,993,1514,189.2,5.004,53.72
176.8,19,28766,5.0,993,1514,209.9,5.0,42.56
177.8,17,25738,5.0,993,1514,206.9,4.999,38.09
178.8,11,16654,5.0,993,1514,195.2,5.005,24.62
179.8,17,25738,5.0,993,1514,201.2,4.995,38.12
180.8,20,30280,5.0,993,1514,177.2,5.005,44.76
181.8,15,22710,5.0,993,1514,172.1,5.001,33.59
182.8,18,27252,5.0,993,1514,189.1,4.991,40.39
183.8,14,21196,5.0,993,1514,202.4,5.0,31.36
184.8,17,25738,5.0,993,1514,208.2,5.007,38.03
185.8,15,22710,5.0,993,1514,198.8,4.996,33.63
186.8,20,30280,5.0,993,1514,195.3,5.008,44.73
187.8,13,19682,5.0,993,1514,219.2,4.997,29.14
188.8,13,19682,5.0,993,1514,202.9,5.001,29.11
189.8,15,22710,5.0,993,1514,196.1,4.992,33.65
190.8,19,28766,5.0,993,1514,201.3,5.01,42.48
191.8,14,21196,5.0,993,1514,201.2,4.995,31.39
192.8,12,18168,5.0,993,1514,208.0,5.003,26.86
193.8,21,31794,5.0,993,1514,186.1,5.002,47.02
194.8,16,24224,5.0,993,1514,205.3,4.997,35.86
195.8,17,25738,5.0,993,1514,185.1,4.989,38.16
196.9,15,22710,5.0,993,1514,181.9,5.009,33.54
197.9,15,22710,5.0,993,1514,205.3,4.997,33.62
198.9,12,18168,5.0,993,1514,200.3,4.997,26.9
199.9,12,18168,5.0,993,1514,186.8,5.006,26.85
200.9,13,19682,5.0,993,1514,178.3,4.996,29.14
201.9,17,25738,5.0,993,1514,200.3,4.997,38.1
202.9,21,31794,5.0,993,1514,197.8,5.008,46.96
203.9,26,39364,5.0,993,1514,205.1,4.991,58.35
204.9,14,21196,5.0,993,1514,218.2,5.008,31.31
205.9,16,24224,5.0,993,1514,191.1,4.991,35.9
206.9,16,24224,5.0,993,1514,188.0,5.011,35.76
207.9,12,18168,5.0,993,1514,215.2,4.997,26.9
208.9,18,27252,5.0,993,1514,185.3,4.994,40.37
209.9,17,25738,5.0,993,1514,197.1,5.005,38.04
210.9,18,27252,5.0,993,1514,187.1,5.003,40.3
211.9,19,28766,5.0,993,1514,191.3,4.995,42.6
212.9,15,22710,5.0,993,1514,184.1,5.003,33.58
213.9,8,12112,5.0,993,1514,186.9,4.998,17.93
214.9,14,21196,5.0,993,1514,194.3,4.995,31.39
215.9,16,24224,5.0,993,1514,196.4,5.01,35.77
216.9,12,18168,5.0,993,1514,195.8,4.997,26.9
217.9,17,25738,5.0,993,1514,196.2,4.993,38.13
218.9,15,22710,5.0,993,1514,201.3,5.01,33.53
220.0,20,30280,5.0,993,1514,190.3,4.996,44.84
221.0,20,30280,5.0,993,1514,199.9,4.998,44.82
222.0,17,25738,5.0,993,1514,193.1,5.003,38.06
223.0,13,19682,5.0,993,1514,190.4,4.998,29.13
224.0,16,24224,5.0,993,1514,200.0,5.002,35.83
225.0,19,28766,5.0,993,1514,199.1,4.992,42.63
226.0,16,24224,5.0,993,1514,182.3,5.007,35.79
227.0,15,22710,5.0,993,1514,206.3,4.998,33.61
228.0,16,24224,5.0,993,1514,198.7,4.995,35.88
229.0,17,25738,5.0,993,1514,183.2,5.005,38.04
230.0,15,22710,5.0,993,1514,162.2,5.001,33.59
231.0,17,25738,5.0,993,1514,197.8,4.996,38.11
232.0,17,25738,5.0,993,1514,188.2,5.004,38.05
233.0,12,18168,5.0,993,1514,186.4,4.997,26.9
234.0,18,27252,5.0,993,1514,162.2,5.003,40.3
235.0,16,24224,5.0,993,1514,179.9,4.995,35.88
236.0,19,28766,5.0,993,1514,176.4,5.008,42.49
237.0,18,27252,5.0,993,1514,203.3,4.998,40.34
238.0,17,25738,5.0,993,1514,159.0,4.996,38.11
239.0,15,22710,5.0,993,1514,174.2,5.002,33.59
240.0,16,24224,5.0,993,1514,197.2,4.994,35.88
241.1,22,33308,5.0,993,1514,194.8,5.007,49.21
242.1,22,33308,5.0,993,1514,200.2,4.994,49.34
243.1,18,27252,5.0,993,1514,193.4,5.012,40.22
244.1,16,24224,5.0,993,1514,200.3,4.997,35.86
245.1,14,21196,5.0,993,1514,195.0,5.0,31.36
246.1,14,21196,5.0,993,1514,188.9,4.997,31.38
247.1,19,28766,5.0,993,1514,198.2,4.995,42.6
248.1,19,28766,5.0,993,1514,209.9,5.001,42.55
249.1,14,21196,5.0,993,1514,187.1,5.002,31.35
250.1,17,25738,5.0,993,1514,183.4,4.997,38.1
251.1,17,25738,5.0,993,1514,197.8,4.997,38.1
252.1,22,33308,5.0,993,1514,203.0,5.015,49.13
253.1,16,24224,5.0,993,1514,203.3,4.998,35.85
254.1,15,22710,5.0,993,1514,190.3,4.995,33.63
255.1,18,27252,5.0,993,1514,195.9,5.0,40.32
256.1,15,22710,5.0,993,1514,200.9,5.0,33.6
257.1,20,30280,5.0,993,1514,200.2,5.007,44.74
258.1,16,24224,5.0,993,1514,202.8,4.998,35.85
259.1,15,22710,5.0,993,1514,195.1,5.003,33.58
260.1,0,0,5.0,993,1514,188.3,4.997,0.0
261.1,16,24224,5.0,993,1514,194.1,5.002,35.83
262.1,15,22710,5.0,993,1514,200.7,4.995,33.63
263.2,10,15140,5.0,993,1514,198.0,5.002,22.39
264.2,0,0,5.0,993,1514,196.0,5.0,0.0
265.2,20,30280,5.0,993,1514,200.9,4.999,44.81
266.2,17,25738,5.0,993,1514,187.4,4.998,38.1
267.2,17,25738,5.0,993,1514,188.3,5.008,38.02
268.2,21,31794,5.0,993,1514,198.8,4.997,47.07
269.2,15,22710,5.0,993,1514,199.3,4.996,33.63
270.2,19,28766,5.0,993,1514,186.4,4.997,42.59
271.2,25,37850,5.0,993,1514,203.2,5.006,55.93
272.2,12,18168,5.0,993,1514,208.7,4.995,26.91
273.2,19,28766,5.0,993,1514,187.3,5.007,42.5
274.2,21,31794,5.0,993,1514,200.2,4.994,47.1
275.2,12,18168,5.0,993,1514,203.8,4.998,26.89
276.2,17,25738,5.0,993,1514,198.0,5.002,38.06
277.2,14,21196,5.0,993,1514,207.3,4.998,31.37
278.2,18,27252,5.0,993,1514,196.9,5.0,40.32
279.2,18,27252,5.0,993,1514,199.1,5.003,40.3
280.2,14,21196,5.0,993,1514,188.3,5.008,31.31
281.2,17,25738,5.0,993,1514,202.3,4.997,38.1
282.2,26,39364,5.0,993,1514,184.0,4.999,58.25
283.2,22,33308,5.0,993,1514,214.9,5.001,49.27
284.2,13,19682,5.0,993,1514,204.3,4.997,29.14
285.3,16,24224,5.0,993,1514,185.0,5.0,35.84
286.3,22,33308,5.0,993,1514,190.0,5.0,49.28
287.3,13,19682,5.0,993,1514,200.3,4.996,29.14
288.3,19,28766,5.0,993,1514,197.2,5.006,42.51
289.3,22,33308,5.0,993,1514,198.7,4.993,49.35
290.3,19,28766,5.0,993,1514,194.0,5.002,42.54
291.3,13,19682,5.0,993,1514,209.7,5.007,29.08
292.3,11,16654,5.0,993,1514,190.9,4.997,24.65
293.3,19,28766,5.0,993,1514,184.3,4.995,42.6
294.3,13,19682,5.0,993,1514,182.2,4.993,29.16
295.3,18,27252,5.0,993,1514,175.3,5.007,40.26
296.3,21,31794,5.0,993,1514,190.3,4.997,47.07
297.3,11,16654,5.0,993,1514,211.4,4.999,24.64
298.3,21,31794,5.0,993,1514,194.4,4.998,47.06
299.3,14,21196,5.0,993,1514,194.4,5.012,31.28
300.3,19,28766,5.0,993,1514,195.4,4.998,42.58
301.3,15,22710,5.0,993,1514,202.2,4.995,33.63
302.3,16,24224,5.0,993,1514,196.2,4.995,35.88
303.3,18,27252,5.0,993,1514,184.4,5.009,40.25
304.3,10,15140,5.0,993,1514,185.1,4.991,22.44
305.3,15,22710,5.0,993,1514,175.4,5.008,33.55
306.3,19,28766,5.0,993,1514,184.3,4.995,42.6
307.3,15,22710,5.0,993,1514,202.1,5.005,33.57
308.3,21,31794,5.0,993,1514,190.4,4.998,47.06
309.4,18,27252,5.0,993,1514,208.3,4.998,40.34
310.4,17,25738,5.0,993,1514,200.3,4.997,38.1
311.4,16,24224,5.0,993,1514,201.3,5.009,35.78
312.4,16,24224,5.0,993,1514,197.2,4.993,35.89
313.4,10,15140,5.0,993,1514,199.1,5.004,22.38
314.4,13,19682,5.0,993,1514,192.4,4.998,29.13
315.4,0,0,5.0,993,1514,197.2,4.995,0.0
316.4,16,24224,5.0,993,1514,199.2,5.007,35.79
317.4,12,18168,5.0,993,1514,201.3,4.997,26.9
318.4,18,27252,5.0,993,1514,194.4,4.999,40.33
319.4,15,22710,5.0,993,1514,198.3,4.997,33.62
320.4,19,28766,5.0,993,1514,183.4,5.011,42.47
321.4,15,22710,5.0,993,1514,190.4,4.997,33.62
322.4,15,22710,5.0,993,1514,174.4,4.997,33.62
323.4,20,30280,5.0,993,1514,171.4,4.998,44.82
324.4,21,31794,5.0,993,1514,201.3,4.997,47.07
325.4,21,31794,5.0,993,1514,200.9,5.0,47.04
326.4,14,21196,5.0,993,1514,210.4,5.012,31.28
327.4,15,22710,5.0,993,1514,185.2,4.994,33.64
328.4,9,13626,5.0,993,1514,178.4,4.998,20.17
329.4,18,27252,5.0,993,1514,195.1,5.005,40.28
330.4,21,31794,5.0,993,1514,197.3,4.998,47.06
331.4,22,33308,5.0,993,1514,204.4,4.999,49.29
332.4,11,16654,5.0,993,1514,199.3,4.998,24.65
333.4,18,27252,5.0,993,1514,189.3,4.997,40.34
334.4,19,28766,5.0,993,1514,189.4,5.01,42.48
335.4,16,24224,5.0,993,1514,197.2,4.995,35.88
336.4,18,27252,5.0,993,1514,172.3,4.993,40.38
337.5,15,22710,5.0,993,1514,197.7,5.007,33.55
338.5,13,19682,5.0,993,1514,204.2,4.995,29.15
339.5,18,27252,5.0,993,1514,204.3,5.009,40.25
340.5,17,25738,5.0,993,1514,197.2,4.994,38.13
341.5,17,25738,5.0,993,1514,199.3,5.009,38.01
342.5,16,24224,5.0,993,1514,212.3,4.997,35.86
343.5,16,24224,5.0,993,1514,195.3,4.997,35.86
344.5,17,25738,5.0,993,1514,202.3,4.996,38.11
345.5,16,24224,5.0,993,1514,192.3,4.997,35.86
346.5,0,0,5.0,993,1514,198.2,5.006,0.0
347.5,21,31794,5.0,993,1514,209.1,5.005,46.99
348.5,10,15140,5.0,993,1514,213.9,5.001,22.4
