[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns1/veth1...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=9
[eBPF] Layer 3: ✅ global_map id=10

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260401_112753.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   39.6       HEAVY       STABLE       HEAVY   24706.4    382       0      0    0.00ms      MICE    2.4ms    487     7
   40.1       HEAVY       STABLE       HEAVY   25119.7    380       0      0    0.00ms      MICE    2.4ms    487     7
   40.7       HEAVY       STABLE       HEAVY   26229.1    372       0      0    0.00ms      MICE    2.2ms    438     8
   41.2       HEAVY   RECOVERING    MODERATE    7975.0    396       0      0    0.00ms      MICE    2.2ms    438     8
   41.7       HEAVY   RECOVERING    MODERATE    4879.4    432       0      0    0.00ms      MICE    2.2ms    438     8
   42.2       HEAVY   RECOVERING    MODERATE    6575.3      0       0      0    0.00ms      MICE    2.2ms    438     8
   42.7       HEAVY   RECOVERING    MODERATE    5791.1    403       0      0    0.00ms      MICE    2.2ms    438     8
   43.2       HEAVY   RECOVERING    MODERATE    6324.7    431       0      0    0.00ms      MICE    2.2ms    438     8
   43.7       HEAVY   RECOVERING    MODERATE    6238.8    423       0      0    0.00ms      MICE    2.2ms    438     8
   44.2       HEAVY   RECOVERING    MODERATE    6960.2    402       0      0    0.00ms      MICE    2.2ms    438     8
   44.7       HEAVY   RECOVERING    MODERATE    5030.6    410       0      0    0.00ms      MICE    2.2ms    438     8
   45.2       HEAVY   RECOVERING    MODERATE    7786.4    433       0      0    0.00ms      MICE    2.2ms    438     8
   45.7       HEAVY       STABLE       HEAVY    6370.3    400       0      0    0.00ms      MICE    1.9ms    394     9
   46.2       HEAVY       STABLE       HEAVY   29698.5    355       0      0    0.00ms      MICE    1.9ms    394     9
   46.7       HEAVY       STABLE       HEAVY   19354.1    352       0      0    0.00ms      MICE    1.9ms    394     9
   47.3       HEAVY       STABLE       HEAVY   22167.6    367       0      0    0.00ms      MICE    1.9ms    394     9
   47.8       HEAVY       STABLE       HEAVY   19026.6    363       0      0    0.00ms      MICE    1.9ms    394     9
   48.3       HEAVY       STABLE       HEAVY   25598.5    365       0      0    0.00ms      MICE    1.9ms    394     9
