[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns_router/veth_rs...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=19
[eBPF] Layer 3: ✅ global_map id=20

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260403_082701.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   67.3       HEAVY       STABLE       HEAVY     172.1     12       0      0    0.00ms      MICE    1.3ms    257    13
   67.8       HEAVY       STABLE       HEAVY     220.6      8       0      0    0.00ms      MICE    1.3ms    257    13
   68.4       HEAVY       STABLE       HEAVY     139.7      7       0      0    0.00ms      MICE    1.3ms    257    13
   68.9       HEAVY       STABLE       HEAVY     175.2     12       0      0    0.00ms      MICE    1.3ms    257    13
   69.4       HEAVY       STABLE       HEAVY     190.1      8       0      0    0.00ms      MICE    1.3ms    257    13
   69.9       HEAVY       STABLE       HEAVY     159.6     12       0      0    0.00ms      MICE    1.3ms    257    13
   70.4       HEAVY       STABLE       HEAVY     184.4     10       0      0    0.00ms      MICE    1.3ms    257    13
   70.9       HEAVY       STABLE       HEAVY     175.6     11       0      0    0.00ms      MICE    1.3ms    257    13
   71.4       HEAVY       STABLE       HEAVY     180.1     13       0      0    0.00ms      MICE    1.3ms    257    13
   72.0       HEAVY       STABLE       HEAVY     184.2     13       0      0    0.00ms      MICE    1.1ms    256    14
   72.5       HEAVY       STABLE       HEAVY     175.9     12       0      0    0.00ms      MICE    1.1ms    256    14
   73.0       HEAVY       STABLE       HEAVY     155.4     13       0      0    0.00ms      MICE    1.1ms    256    14
   73.5       HEAVY       STABLE       HEAVY     174.7     10       0      0    0.00ms      MICE    1.1ms    256    14
   74.0       HEAVY       STABLE       HEAVY     181.1      8       0      0    0.00ms      MICE    1.1ms    256    14
   74.5       HEAVY       STABLE       HEAVY     137.7     16       0      0    0.00ms      MICE    1.1ms    256    14
   75.1       HEAVY       STABLE       HEAVY     213.0     12       0      0    0.00ms      MICE    1.1ms    256    14
   75.6       HEAVY       STABLE       HEAVY     166.4     11       0      0    0.00ms      MICE    1.1ms    256    14
   76.1       HEAVY       STABLE       HEAVY     176.4     11       0      0    0.00ms      MICE    1.1ms    256    14
   76.6       HEAVY       STABLE       HEAVY     173.7     13       0      0    0.00ms      MICE    1.1ms    256    14
   77.1       HEAVY       STABLE       HEAVY     197.5     10       0      0    0.00ms      MICE    1.0ms    256    15
   77.6       HEAVY       STABLE       HEAVY     183.6     12       0      0    0.00ms      MICE    1.0ms    256    15
   78.1       HEAVY       STABLE       HEAVY     158.4     11       0      0    0.00ms      MICE    1.0ms    256    15
   78.6       HEAVY       STABLE       HEAVY     171.0     11       0      0    0.00ms      MICE    1.0ms    256    15
   79.2       HEAVY       STABLE       HEAVY     188.4     13       0      0    0.00ms      MICE    1.0ms    256    15
