[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns_router/veth_rs...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=37
[eBPF] Layer 3: ✅ global_map id=38

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260409_122449.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   47.0       HEAVY       STABLE       HEAVY     175.3     16       0      0    0.00ms      MICE    2.2ms    438     8
   47.5       HEAVY       STABLE       HEAVY     201.9      3       0      0    0.00ms      MICE    2.2ms    438     8
   48.0       HEAVY       STABLE       HEAVY     150.0     13       0      0    0.00ms      MICE    2.2ms    438     8
   48.5       HEAVY       STABLE       HEAVY     159.2     11       0      0    0.00ms      MICE    2.2ms    438     8
   49.0       HEAVY       STABLE       HEAVY     162.4      8       0      0    0.00ms      MICE    2.2ms    438     8
   49.5       HEAVY       STABLE       HEAVY     172.6      6       0      0    0.00ms      MICE    2.2ms    438     8
   50.0       HEAVY       STABLE       HEAVY     185.9      9       0      0    0.00ms      MICE    2.2ms    438     8
   50.5       HEAVY       STABLE       HEAVY     179.9     10       0      0    0.00ms      MICE    2.2ms    438     8
   51.0       HEAVY       STABLE       HEAVY     171.1     12       0      0    0.00ms      MICE    1.9ms    394     9
   51.6       HEAVY       STABLE       HEAVY     203.0      8       0      0    0.00ms      MICE    1.9ms    394     9
   52.1       HEAVY       STABLE       HEAVY     173.1     11       0      0    0.00ms      MICE    1.9ms    394     9
   52.6       HEAVY       STABLE       HEAVY     195.2      9       0      0    0.00ms      MICE    1.9ms    394     9
   53.1       HEAVY       STABLE       HEAVY     167.5     14       0      0    0.00ms      MICE    1.9ms    394     9
   53.6       HEAVY       STABLE       HEAVY     157.7     17       0      0    0.00ms      MICE    1.9ms    394     9
   54.1       HEAVY       STABLE       HEAVY     182.3     11       0      0    0.00ms      MICE    1.9ms    394     9
   54.6       HEAVY       STABLE       HEAVY     157.2     16       0      0    0.00ms      MICE    1.9ms    394     9
   55.1       HEAVY       STABLE       HEAVY     179.2     13       0      0    0.00ms      MICE    1.9ms    394     9
   55.6       HEAVY       STABLE       HEAVY     175.3     13       0      0    0.00ms      MICE    1.9ms    394     9
   56.1       HEAVY       STABLE       HEAVY     156.9     15       0      0    0.00ms      MICE    1.7ms    354    10
   56.7       HEAVY       STABLE       HEAVY     171.0     13       0      0    0.00ms      MICE    1.7ms    354    10
   57.2       HEAVY       STABLE       HEAVY     167.4     13       0      0    0.00ms      MICE    1.7ms    354    10
   57.7       HEAVY       STABLE       HEAVY     167.4     11       0      0    0.00ms      MICE    1.7ms    354    10
   58.2       HEAVY       STABLE       HEAVY     184.5     14       0      0    0.00ms      MICE    1.7ms    354    10
