t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
289.2,10,15140,15.0,1000,1514,149.5,4.998,22.41
290.2,6,9084,15.0,1000,1514,156.4,5.006,13.42
291.2,4,6056,15.0,1000,1514,165.5,4.998,8.96
292.2,9,13626,15.0,1000,1514,166.4,4.997,20.17
293.2,5,7570,15.0,1000,1514,177.5,4.999,11.2
294.2,8,12112,15.0,1000,1514,152.4,5.007,17.89
295.2,13,19682,15.0,1000,1514,163.4,4.996,29.14
296.2,9,13626,15.0,1000,1514,169.4,4.995,20.18
297.2,12,18168,15.0,1000,1514,176.3,5.005,26.85
298.2,5,7570,15.0,1000,1514,181.4,4.998,11.2
299.2,3,4542,15.0,1000,1514,175.4,4.997,6.72
300.2,10,15140,15.0,1000,1514,156.5,4.998,22.41
301.2,6,9084,15.0,1000,1514,157.5,4.997,13.45
302.2,4,6056,15.0,1000,1514,140.5,5.008,8.95
303.2,9,13626,15.0,1000,1514,160.4,4.997,20.17
304.2,9,13626,15.0,1000,1514,177.3,4.996,20.18
305.2,10,15140,15.0,1000,1514,165.4,5.008,22.36
306.2,8,12112,15.0,1000,1514,163.5,4.998,17.93
307.2,7,10598,15.0,1000,1514,155.4,4.995,15.7
308.2,10,15140,15.0,1000,1514,151.4,5.008,22.36
309.2,5,7570,15.0,1000,1514,179.0,5.0,11.2
310.2,8,12112,15.0,1000,1514,142.5,4.995,17.94
311.2,11,16654,15.0,1000,1514,170.5,4.999,24.64
312.2,8,12112,15.0,1000,1514,156.4,4.995,17.94
313.2,12,18168,15.0,1000,1514,161.4,5.007,26.84
314.2,11,16654,15.0,1000,1514,152.5,4.998,24.65
315.3,5,7570,15.0,1000,1514,172.4,4.997,11.21
316.3,10,15140,15.0,1000,1514,167.1,4.999,22.4
317.3,3,4542,15.0,1000,1514,173.3,5.006,6.71
318.3,4,6056,15.0,1000,1514,163.4,4.996,8.97
319.3,5,7570,15.0,1000,1514,193.3,5.008,11.18
320.3,4,6056,15.0,1000,1514,170.3,4.995,8.97
