========================================================================
  Adaptive RED Controller  —  Floyd, Gummadi & Shenker (ICSI 2001)
  ns=ns_router  iface=veth_rs  duration=630s
  min_th=20  max_th=300  max_p=0.5
  W_Q=0.002  alpha=0.01  beta=0.9
========================================================================
  NOTE: Adaptive RED adapts max_p (drop prob) mapped to target/limit
  It does NOT use gradient prediction, eBPF, or workload profiles
========================================================================
  t(s)    avg_q       dr/s      bl    tput   max_p   target  limit   adj
  75.2      3.4      139.8      14   10.00   0.010    4.8ms    993     3
  75.7      3.4      156.1      12   10.00   0.010    4.8ms    993     3
  76.2      3.4      162.3      13   10.02   0.010    4.8ms    993     3
  76.7      3.4      141.2      14    9.99   0.010    4.8ms    993     3
  77.2      3.4      160.1       8    9.98   0.010    4.8ms    993     3
  77.7      3.4      134.1      10   10.01   0.010    4.8ms    993     3
  78.2      3.5      152.0      13    9.99   0.010    4.8ms    993     3
  78.7      3.5      135.0      14   10.01   0.010    4.8ms    993     3
  79.2      3.5      171.3      13    9.99   0.010    4.8ms    993     3
  79.7      3.5      149.9      16   10.01   0.010    4.8ms    993     3
  80.2      3.5      139.8      15   10.00   0.010    4.8ms    993     3
  80.8      3.6      179.1      14   10.01   0.010    4.8ms    993     3
  81.3      3.6      157.7      12    9.98   0.010    4.8ms    993     3
  81.8      3.6      151.8      13   10.01   0.010    4.8ms    993     3
  82.3      3.6      128.2      15   10.01   0.010    4.8ms    993     3
  82.8      3.6      139.1      15    9.99   0.010    4.8ms    993     3
  83.3      3.7      166.2       9   10.01   0.010    4.8ms    993     3
  83.8      3.7      133.0      12   10.00   0.010    4.8ms    993     3
  84.3      3.7      140.0      15    9.98   0.010    4.8ms    993     3
  84.8      3.7      150.9      13   10.01   0.010    4.8ms    993     3
  85.3      3.7      159.5      14    9.99   0.010    4.8ms    993     3
  85.8      3.8      149.7      13   10.00   0.010    4.8ms    993     3
  86.3      3.8      148.9      10   10.00   0.010    4.8ms    993     3
  86.8      3.8      145.8      10   10.02   0.010    4.8ms    993     3
  87.3      3.8      134.2      17    9.99   0.010    4.8ms    993     3
  87.8      3.8      153.9      12    9.99   0.010    4.8ms    993     3
  88.3      3.8      156.9       9   10.01   0.010    4.8ms    993     3
  88.8      3.9      151.8      14    9.98   0.010    4.8ms    993     3
  89.4      3.9      141.0      15   10.03   0.010    4.8ms    993     3
  89.9      3.9      184.3      14    9.98   0.010    4.8ms    993     3
  90.4      3.9      169.6      11   10.01   0.010    4.8ms    993     3
  90.9      3.9      138.1      15    9.99   0.010    4.8ms    993     3
  91.4      3.9      141.0      10   10.00   0.010    4.8ms    993     3
  91.9      4.0      117.1      17   10.00   0.010    4.8ms    993     3
  92.4      4.0      138.7      13    9.99   0.010    4.8ms    993     3
  92.9      4.0      131.2      12   10.01   0.010    4.8ms    993     3
  93.4      4.0      154.9      11   10.00   0.010    4.8ms    993     3
  93.9      4.0      120.6      15    9.98   0.010    4.8ms    993     3
  94.4      4.0      147.1       9   10.02   0.010    4.8ms    993     3
  94.9      4.1      169.5      14   10.00   0.010    4.8ms    993     3
  95.4      4.1      144.1      13   10.00   0.010    4.8ms    993     3
  95.9      4.1      154.9       7   10.01   0.010    4.8ms    993     3
  96.4      4.1      151.1       9    9.99   0.010    4.8ms    993     3
  96.9      4.1      139.1      11   10.01   0.010    4.8ms    993     3
  97.4      4.1      143.1      15    9.99   0.010    4.8ms    993     3
  97.9      4.2      161.8      14    9.99   0.010    4.8ms    993     3
  98.4      4.2      162.9      15   10.01   0.010    4.8ms    993     3
  98.9      4.2      135.2      15    9.99   0.010    4.8ms    993     3
  99.4      4.2      153.0      10   10.01   0.010    4.8ms    993     3
  99.9      4.2      137.1      10    9.99   0.010    4.8ms    993     3
 100.5      4.2      144.9      11   10.00   0.010    4.8ms    993     3
 101.0      4.3      139.2      11    9.99   0.010    4.8ms    993     3
 101.5      4.3      140.8      12   10.02   0.010    4.8ms    993     3
 102.0      4.3      139.0      12    9.98   0.010    4.8ms    993     3
 102.5      4.3      135.1      12   10.01   0.010    4.8ms    993     3
 103.0      4.3      154.8      13   10.00   0.010    4.8ms    993     3
 103.5      4.3      137.9      14   10.00   0.010    4.8ms    993     3
 104.0      4.4      144.1      13    9.99   0.010    4.8ms    993     3
 104.5      4.4      136.4      14   10.01   0.010    4.8ms    993     3
 105.0      4.4      159.3      10    9.98   0.010    4.8ms    993     3
 105.5      4.4      148.7      12   10.01   0.010    4.8ms    993     3
 106.0      4.4      161.9      10    9.99   0.010    4.8ms    993     3
 106.5      4.4      151.9      14   10.01   0.010    4.8ms    993     3
 107.0      4.5      130.1      16    9.98   0.010    4.8ms    993     3
 107.5      4.5      150.9      13   10.00   0.010    4.8ms    993     3
 108.0      4.5      144.3      15   10.01   0.010    4.8ms    993     3
 108.5      4.5      163.6      15   10.01   0.010    4.8ms    993     3
 109.0      4.5      149.8       7   10.01   0.010    4.8ms    993     3
 109.6      4.5      141.1      12    9.99   0.010    4.8ms    993     3
 110.1      4.5      148.0      11    9.99   0.010    4.8ms    993     3
 110.6      4.6      140.9      15   10.00   0.010    4.8ms    993     3
 111.1      4.6      163.1       8   10.00   0.010    4.8ms    993     3
 111.6      4.6      114.3      14   10.01   0.010    4.8ms    993     3
 112.1      4.6      140.1      13   10.02   0.010    4.8ms    993     3
 112.6      4.6      154.1      15    9.98   0.010    4.8ms    993     3
 113.1      4.6      130.8      10   10.01   0.010    4.8ms    993     3
 113.6      4.7      152.0      12   10.00   0.010    4.8ms    993     3
 114.1      4.7      148.6      14   10.01   0.010    4.8ms    993     3
 114.6      4.7      178.9      13    9.99   0.010    4.8ms    993     3
 115.1      4.7      170.9       6   10.01   0.010    4.8ms    993     3
 115.6      4.7      109.3      13    9.99   0.010    4.8ms    993     3
 116.1      4.7      148.3      13    9.99   0.010    4.8ms    993     3
 116.6      4.7      153.0      16   10.01   0.010    4.8ms    993     3
 117.1      4.8      183.5      11    9.99   0.010    4.8ms    993     3
 117.6      4.8      154.7      12   10.02   0.010    4.8ms    993     3
 118.1      4.8      161.8      11    9.99   0.010    4.8ms    993     3
 118.6      4.8      139.0      12   10.01   0.010    4.8ms    993     3
 119.1      4.8      161.5      11    9.99   0.010    4.8ms    993     3
 119.7      4.8      137.1      12   10.01   0.010    4.8ms    993     3
 120.2      4.8      151.1      16    9.99   0.010    4.8ms    993     3
 120.7      4.9      131.2      11   10.01   0.010    4.8ms    993     3
 121.2      4.9      163.6      12    9.98   0.010    4.8ms    993     3
 121.7      4.9      134.2      10    9.99   0.010    4.8ms    993     3
 122.2      4.9      156.9      10   10.01   0.010    4.8ms    993     3
 122.7      4.9      137.0      15   10.01   0.010    4.8ms    993     3
 123.2      4.9      159.7      15   10.01   0.010    4.8ms    993     3
 123.7      4.9      151.6       9    9.99   0.010    4.8ms    993     3
 124.2      5.0      138.5      12    9.99   0.010    4.8ms    993     3
 124.7      5.0      153.0      15   10.01   0.010    4.8ms    993     3
 125.2      5.0      135.2       7    9.99   0.010    4.8ms    993     3
 125.7      5.0      135.1      11   10.01   0.010    4.8ms    993     3
