t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
154.6,27,40878,5.0,1024,1514,176.3,5.008,60.38
155.6,17,25738,5.0,1024,1514,160.0,4.995,38.12
156.6,26,39364,5.0,1024,1514,151.3,5.002,58.22
157.6,27,40878,5.0,1024,1514,150.4,4.995,60.54
158.6,16,24224,5.0,1024,1514,164.2,5.003,35.82
159.6,18,27252,5.0,1024,1514,177.9,4.995,40.36
160.6,30,45420,5.0,1024,1514,163.4,5.009,67.08
161.6,19,28766,5.0,1024,1514,160.3,4.992,42.63
162.6,21,31794,5.0,1024,1514,163.0,5.007,46.97
163.6,22,33308,5.0,1024,1514,174.4,4.997,49.31
164.6,25,37850,5.0,1024,1514,168.4,4.998,56.02
165.6,26,39364,5.0,1024,1514,175.2,5.003,58.21
166.7,22,33308,5.0,1024,1514,155.2,5.0,49.28
167.7,26,39364,5.0,1024,1514,176.4,4.999,58.25
168.7,33,49962,5.0,1024,1514,154.4,4.996,73.98
169.7,20,30280,5.0,1024,1514,163.2,5.002,44.78
170.7,25,37850,5.0,1024,1514,161.2,5.002,55.98
171.7,28,42392,5.0,1024,1514,173.4,4.998,62.75
172.7,24,36336,5.0,1024,1514,167.2,5.002,53.74
173.7,25,37850,5.0,1024,1514,178.1,5.001,55.99
174.7,25,37850,5.0,1024,1514,159.4,4.994,56.07
175.7,28,42392,5.0,1024,1514,163.4,5.009,62.61
176.7,24,36336,5.0,1024,1514,173.2,4.99,53.87
177.7,27,40878,5.0,1024,1514,160.1,5.0,60.48
178.7,22,33308,5.0,1024,1514,166.4,5.009,49.19
179.7,21,31794,5.0,1024,1514,167.4,4.996,47.08
180.7,30,45420,5.0,1024,1514,158.1,4.998,67.23
181.7,28,42392,5.0,1024,1514,168.4,5.01,62.59
182.7,21,31794,5.0,1024,1514,155.4,4.997,47.07
183.7,25,37850,5.0,1024,1514,158.3,4.993,56.08
184.7,0,0,5.0,1024,1514,153.1,5.008,0.0
185.7,27,40878,5.0,1024,1514,171.3,4.995,60.54
186.7,25,37850,5.0,1024,1514,174.4,4.997,56.03
187.7,0,0,5.0,1024,1514,176.1,5.0,0.0
188.7,24,36336,5.0,1024,1514,174.2,5.003,53.73
189.8,31,46934,5.0,1024,1514,157.5,4.998,69.47
190.8,27,40878,5.0,1024,1514,157.2,5.003,60.44
191.8,30,45420,5.0,1024,1514,161.1,4.999,67.21
192.8,18,27252,5.0,1024,1514,188.4,4.998,40.34
193.8,19,28766,5.0,1024,1514,160.4,4.995,42.6
194.8,26,39364,5.0,1024,1514,171.1,5.0,58.24
195.8,20,30280,5.0,1024,1514,170.2,5.003,44.77
196.8,19,28766,5.0,1024,1514,185.3,4.997,42.59
197.8,22,33308,5.0,1024,1514,159.2,5.003,49.25
198.8,30,45420,5.0,1024,1514,160.2,5.003,67.16
199.8,26,39364,5.0,1024,1514,171.4,4.996,58.29
200.8,22,33308,5.0,1024,1514,176.0,4.999,49.29
201.8,24,36336,5.0,1024,1514,166.2,5.002,53.74
202.8,24,36336,5.0,1024,1514,178.3,4.995,53.81
203.8,0,0,5.0,1024,1514,161.5,4.998,0.0
204.8,30,45420,5.0,1024,1514,161.1,5.01,67.07
205.8,0,0,5.0,1024,1514,170.3,4.994,0.0
206.8,18,27252,5.0,1024,1514,165.4,4.997,40.34
207.8,30,45420,5.0,1024,1514,160.0,5.006,67.12
208.8,33,49962,5.0,1024,1514,154.4,4.994,74.01
209.8,29,43906,5.0,1024,1514,184.4,5.009,64.84
