t_s,drop_rate_per_s,drops_exp,backlog_pkts,throughput_mbps,rtt_proxy_ms,active_flows,elephant_flows,mice_flows,elephant_ratio,regime,trajectory,predicted_regime,workload_profile,target_ms,interval_ms,limit_pkts,quantum_bytes,ebpf_pkts,ebpf_bytes
39.309,147.4542,4969,15,10.0014,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300,0,0
39.822,181.3525,5062,13,9.9907,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300,0,0
40.330,157.3038,5142,10,10.0026,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300,0,0
40.838,165.4263,5226,14,10.0182,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300,0,0
41.350,185.5267,5321,12,9.9819,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.39,50.0,487,300,0,0
41.864,185.0870,5416,13,10.0054,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.39,50.0,487,300,0,0
42.371,153.7929,5494,8,10.0063,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.39,50.0,487,300,0,0
42.878,167.4551,5579,13,9.9979,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.39,50.0,487,300,0,0
43.389,174.3773,5668,8,9.9907,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.39,50.0,487,300,0,0
43.900,171.9847,5756,16,10.0130,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.39,50.0,487,300,0,0
44.408,173.3886,5844,13,9.9993,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.39,50.0,487,300,0,0
44.919,176.1946,5934,10,10.0064,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.39,50.0,487,300,0,0
45.428,174.7354,6023,13,9.9875,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.39,50.0,487,300,0,0
45.935,181.4306,6115,14,10.0081,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.39,50.0,487,300,0,0
46.446,184.0414,6209,7,10.0073,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.15,50.0,438,300,0,0
46.959,175.3326,6299,16,9.9811,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.15,50.0,438,300,0,0
47.469,201.8805,6402,3,9.9944,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.15,50.0,438,300,0,0
47.976,149.9861,6478,13,10.0154,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.15,50.0,438,300,0,0
48.485,159.2254,6559,11,9.9998,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.15,50.0,438,300,0,0
48.996,162.4027,6642,8,10.0010,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.15,50.0,438,300,0,0
49.506,172.6117,6730,6,10.0020,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.15,50.0,438,300,0,0
50.017,185.9270,6825,9,9.9797,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.15,50.0,438,300,0,0
50.528,179.8814,6917,10,10.0174,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.15,50.0,438,300,0,0
51.037,171.0823,7004,12,9.9797,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.15,50.0,438,300,0,0
51.554,203.0025,7109,8,9.9756,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.94,50.0,394,300,0,0
52.062,173.1474,7197,11,10.0330,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.94,50.0,394,300,0,0
52.569,195.1547,7296,9,9.9801,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.94,50.0,394,300,0,0
53.077,167.4594,7381,14,10.0220,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.94,50.0,394,300,0,0
53.584,157.7039,7461,17,10.0042,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.94,50.0,394,300,0,0
54.100,182.3015,7555,11,10.0066,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.94,50.0,394,300,0,0
54.609,157.1853,7635,16,9.9951,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.94,50.0,394,300,0,0
55.117,179.1869,7726,13,9.9930,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.94,50.0,394,300,0,0
55.630,175.3182,7816,13,10.0038,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.94,50.0,394,300,0,0
56.140,156.9242,7896,15,10.0023,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.94,50.0,394,300,0,0
56.655,170.9789,7984,13,10.0015,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.74,50.0,354,300,0,0
57.162,167.3543,8069,13,9.9919,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.74,50.0,354,300,0,0
57.670,167.4416,8154,11,10.0210,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.74,50.0,354,300,0,0
58.180,184.4584,8248,14,9.9824,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.74,50.0,354,300,0,0
