[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns1/veth1...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=22
[eBPF] Layer 3: ✅ global_map id=23

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260402_131706.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   36.8       HEAVY       STABLE       HEAVY   16748.3    381       0      0    0.00ms      MICE    2.4ms    487     7
   37.3       HEAVY       STABLE       HEAVY   17443.7    328       0      0    0.00ms      MICE    2.4ms    487     7
   37.8       HEAVY       STABLE       HEAVY   18189.0    327       0      0    0.00ms      MICE    2.4ms    487     7
   38.3       HEAVY       STABLE       HEAVY   18460.3    337       0      0    0.00ms      MICE    2.4ms    487     7
   38.8       HEAVY       STABLE       HEAVY   19026.0    352       0      0    0.00ms      MICE    2.4ms    487     7
   39.3       HEAVY       STABLE       HEAVY   19768.0    338       0      0    0.00ms      MICE    2.4ms    487     7
   39.8       HEAVY       STABLE       HEAVY   20085.8    376       0      0    0.00ms      MICE    2.4ms    487     7
   40.4       HEAVY       STABLE       HEAVY   20486.7    330       0      0    0.00ms      MICE    2.4ms    487     7
   40.9       HEAVY       STABLE       HEAVY   21419.3    352       0      0    0.00ms      MICE    2.2ms    438     8
   41.4       HEAVY       STABLE       HEAVY   20441.9    336       0      0    0.00ms      MICE    2.2ms    438     8
   41.9       HEAVY       STABLE       HEAVY   20069.6    356       0      0    0.00ms      MICE    2.2ms    438     8
   42.4       HEAVY       STABLE       HEAVY   19724.4    292       0      0    0.00ms      MICE    2.2ms    438     8
   42.9       HEAVY   RECOVERING    MODERATE   14140.5    367       0      0    0.00ms      MICE    2.2ms    438     8
   43.4       HEAVY   RECOVERING    MODERATE   14040.4    363       0      0    0.00ms      MICE    2.2ms    438     8
