t,wall,drop_rate,backlog,throughput_mbps,state,target_ms,limit_pkts
92.99,06:31:03,0.0,0,0.000,NORMAL,1.00,256
93.50,06:31:04,0.0,0,0.000,NORMAL,1.00,256
94.00,06:31:04,0.0,0,0.000,NORMAL,1.00,256
94.51,06:31:05,0.0,0,0.000,NORMAL,1.00,256
95.01,06:31:05,0.0,0,0.000,NORMAL,1.50,288
95.52,06:31:06,0.0,0,0.000,NORMAL,1.50,288
96.03,06:31:06,0.0,0,0.000,NORMAL,1.50,288
96.53,06:31:07,0.0,0,0.000,NORMAL,1.50,288
97.04,06:31:07,0.0,0,0.000,NORMAL,1.50,288
97.54,06:31:08,0.0,0,0.000,NORMAL,1.50,288
98.05,06:31:08,0.0,0,0.000,NORMAL,2.00,320
98.56,06:31:09,0.0,0,0.000,NORMAL,2.00,320
99.06,06:31:09,0.0,0,0.000,NORMAL,2.00,320
99.57,06:31:10,0.0,0,0.000,NORMAL,2.00,320
100.07,06:31:10,0.0,0,0.000,NORMAL,2.00,320
100.57,06:31:11,0.0,0,0.000,NORMAL,2.00,320
101.08,06:31:11,0.0,0,0.000,NORMAL,2.50,352
101.59,06:31:12,0.0,0,0.000,NORMAL,2.50,352
102.09,06:31:12,0.0,136,2.003,LIGHT,2.50,352
102.60,06:31:13,79.0,399,9.995,HEAVY,2.50,352
103.10,06:31:13,257.7,404,10.008,HEAVY,2.50,352
103.61,06:31:14,437.1,428,9.995,HEAVY,2.50,352
104.12,06:31:14,615.6,443,10.003,HEAVY,2.25,316
104.63,06:31:15,798.4,440,9.996,HEAVY,2.25,316
105.14,06:31:15,972.2,407,10.001,HEAVY,2.25,316
105.64,06:31:16,1157.1,425,10.004,HEAVY,2.25,316
106.15,06:31:17,1326.0,408,9.998,HEAVY,2.25,316
106.66,06:31:17,1526.5,435,9.993,HEAVY,2.25,316
107.16,06:31:18,1719.5,442,10.005,HEAVY,2.02,285
107.68,06:31:18,1928.8,446,9.999,HEAVY,2.02,285
108.19,06:31:19,2134.2,448,10.003,HEAVY,2.02,285
108.69,06:31:19,2305.8,441,10.002,HEAVY,2.02,285
109.19,06:31:20,2515.7,431,9.996,HEAVY,2.02,285
109.70,06:31:20,2725.8,433,10.005,HEAVY,2.02,285
110.21,06:31:21,2773.4,400,9.994,HEAVY,1.82,256
110.72,06:31:21,2662.6,425,10.000,HEAVY,1.82,256
111.23,06:31:22,2791.2,445,10.004,HEAVY,1.82,256
111.73,06:31:22,2881.4,430,10.001,HEAVY,1.82,256
112.23,06:31:23,2920.9,430,10.001,HEAVY,1.82,256
112.74,06:31:23,2971.4,445,10.002,HEAVY,1.82,256
113.24,06:31:24,3059.0,414,9.998,HEAVY,1.64,256
113.75,06:31:24,3108.3,447,9.998,HEAVY,1.64,256
114.25,06:31:25,3314.4,439,9.998,HEAVY,1.64,256
114.76,06:31:25,3515.3,402,10.008,HEAVY,1.64,256
115.26,06:31:26,3718.9,413,9.998,HEAVY,1.64,256
115.77,06:31:26,3503.3,428,9.999,HEAVY,1.64,256
116.27,06:31:27,3619.5,404,10.002,HEAVY,1.48,256
116.78,06:31:27,2949.0,444,9.999,HEAVY,1.48,256
117.28,06:31:28,2986.6,429,10.002,HEAVY,1.48,256
117.79,06:31:28,3066.0,465,10.000,HEAVY,1.48,256
118.29,06:31:29,3270.5,438,9.998,HEAVY,1.48,256
118.79,06:31:29,3483.8,459,9.995,HEAVY,1.48,256
119.30,06:31:30,3559.7,489,10.002,HEAVY,1.33,256
119.81,06:31:30,3350.9,472,9.997,HEAVY,1.33,256
120.32,06:31:31,3362.7,450,10.005,HEAVY,1.33,256
120.82,06:31:31,3710.3,445,9.998,HEAVY,1.33,256
121.33,06:31:32,3542.1,461,10.000,HEAVY,1.33,256
121.83,06:31:32,3739.7,439,10.003,HEAVY,1.33,256
122.33,06:31:33,3503.2,419,10.001,HEAVY,1.20,256
122.84,06:31:33,3753.0,443,9.999,HEAVY,1.20,256
123.35,06:31:34,3953.3,458,9.999,HEAVY,1.20,256
123.85,06:31:34,4163.1,466,10.001,HEAVY,1.20,256
124.35,06:31:35,4354.6,418,10.000,HEAVY,1.20,256
124.86,06:31:35,4307.1,444,10.000,HEAVY,1.20,256
125.36,06:31:36,4208.6,409,9.997,HEAVY,1.08,256
125.87,06:31:36,4596.5,387,10.002,HEAVY,1.08,256
126.37,06:31:37,4816.5,380,9.999,HEAVY,1.08,256
126.88,06:31:37,5023.9,376,10.001,HEAVY,1.08,256
127.38,06:31:38,4997.5,432,9.999,HEAVY,1.08,256
127.88,06:31:38,4256.5,423,10.000,HEAVY,1.08,256
128.39,06:31:39,3951.3,402,9.999,HEAVY,1.00,256
128.90,06:31:39,3737.6,418,10.002,HEAVY,1.00,256
129.40,06:31:40,4155.0,399,10.001,HEAVY,1.00,256
129.90,06:31:40,3567.8,421,9.999,HEAVY,1.00,256
130.41,06:31:41,3629.0,436,10.000,HEAVY,1.00,256
130.91,06:31:41,3841.3,406,10.000,HEAVY,1.00,256
131.41,06:31:42,2015.5,450,9.998,HEAVY,1.00,256
131.92,06:31:42,3199.8,460,10.000,HEAVY,1.00,256
132.43,06:31:43,3405.9,478,10.002,HEAVY,1.00,256
132.93,06:31:43,3610.1,471,10.000,HEAVY,1.00,256
133.44,06:31:44,3819.3,428,10.000,HEAVY,1.00,256
133.94,06:31:44,3597.4,476,10.000,HEAVY,1.00,256
134.49,06:31:45,2329.7,144,9.498,HEAVY,1.00,256
135.03,06:31:45,264.7,302,10.002,HEAVY,1.00,256
135.54,06:31:46,375.4,429,10.007,HEAVY,1.00,256
136.04,06:31:46,520.4,477,10.000,HEAVY,1.00,256
136.54,06:31:47,715.3,472,9.999,HEAVY,1.00,256
137.05,06:31:47,912.3,427,10.001,HEAVY,1.00,256
137.55,06:31:48,1124.6,486,10.001,HEAVY,1.00,256
138.06,06:31:48,1310.8,461,9.997,HEAVY,1.00,256
138.56,06:31:49,1474.1,470,9.999,HEAVY,1.00,256
139.07,06:31:49,1712.7,457,9.996,HEAVY,1.00,256
139.57,06:31:50,1919.1,468,10.007,HEAVY,1.00,256
140.08,06:31:50,2110.5,465,10.000,HEAVY,1.00,256
140.58,06:31:51,2318.3,495,10.000,HEAVY,1.00,256
141.09,06:31:51,2416.0,470,9.999,HEAVY,1.00,256
141.59,06:31:52,2652.5,470,10.002,HEAVY,1.00,256
142.10,06:31:52,2854.3,474,10.001,HEAVY,1.00,256
142.60,06:31:53,2943.3,449,9.994,HEAVY,1.00,256
143.10,06:31:53,3248.2,448,10.005,HEAVY,1.00,256
143.61,06:31:54,3446.7,465,10.000,HEAVY,1.00,256
144.12,06:31:54,3646.9,446,10.001,HEAVY,1.00,256
144.62,06:31:55,3731.2,481,9.997,HEAVY,1.00,256
145.13,06:31:55,662.9,0,8.962,MODERATE,1.00,256
145.63,06:31:56,1993.0,476,9.562,HEAVY,1.00,256
146.13,06:31:56,3050.7,417,9.998,HEAVY,1.00,256
146.64,06:31:57,3213.5,476,9.998,HEAVY,1.00,256
147.14,06:31:58,3252.6,473,10.000,HEAVY,1.00,256
147.65,06:31:58,3231.3,382,10.001,HEAVY,1.00,256
148.15,06:31:59,3254.1,415,10.001,HEAVY,1.00,256
148.66,06:31:59,3472.1,430,9.998,HEAVY,1.00,256
149.16,06:32:00,3071.9,387,10.001,HEAVY,1.00,256
149.66,06:32:00,2951.3,428,10.000,HEAVY,1.00,256
150.17,06:32:01,2901.2,477,10.001,HEAVY,1.00,256
150.68,06:32:01,3035.8,460,9.998,HEAVY,1.00,256
151.18,06:32:02,2598.4,446,10.000,HEAVY,1.00,256
151.68,06:32:02,3018.1,466,10.002,HEAVY,1.00,256
152.19,06:32:03,3276.9,459,9.999,HEAVY,1.00,256
152.69,06:32:03,3450.5,427,10.001,HEAVY,1.00,256
153.19,06:32:04,3586.3,427,10.001,HEAVY,1.00,256
153.70,06:32:04,3629.1,429,9.998,HEAVY,1.00,256
154.21,06:32:05,2938.8,382,9.998,HEAVY,1.00,256
154.71,06:32:05,2792.0,416,10.001,HEAVY,1.00,256
155.21,06:32:06,2889.8,409,10.001,HEAVY,1.00,256
155.72,06:32:06,2696.3,451,10.000,HEAVY,1.00,256
156.22,06:32:07,2866.7,449,9.999,HEAVY,1.00,256
156.73,06:32:07,2993.9,466,10.002,HEAVY,1.00,256
157.24,06:32:08,2609.8,445,9.989,HEAVY,1.00,256
157.74,06:32:08,2560.4,456,10.007,HEAVY,1.00,256
158.25,06:32:09,2830.3,394,10.000,HEAVY,1.00,256
158.75,06:32:09,3025.7,472,9.999,HEAVY,1.00,256
159.26,06:32:10,3226.4,460,10.000,HEAVY,1.00,256
159.77,06:32:10,3432.4,477,9.998,HEAVY,1.00,256
160.28,06:32:11,3635.6,460,10.003,HEAVY,1.00,256
160.78,06:32:11,3844.3,435,10.004,HEAVY,1.00,256
161.28,06:32:12,4042.5,419,9.999,HEAVY,1.00,256
161.79,06:32:12,4102.1,387,9.996,HEAVY,1.00,256
162.35,06:32:13,3945.2,445,10.000,HEAVY,1.00,256
162.89,06:32:13,894.5,400,10.000,HEAVY,1.00,256
163.39,06:32:14,222.5,488,10.005,HEAVY,1.00,256
163.90,06:32:14,415.2,462,9.999,HEAVY,1.00,256
164.40,06:32:15,609.8,445,10.002,HEAVY,1.00,256
164.90,06:32:15,790.8,421,9.997,HEAVY,1.00,256
165.41,06:32:16,1007.5,469,10.001,HEAVY,1.00,256
165.91,06:32:16,1162.4,475,10.000,HEAVY,1.00,256
166.42,06:32:17,1367.0,453,9.999,HEAVY,1.00,256
166.92,06:32:17,1562.3,435,10.002,HEAVY,1.00,256
167.43,06:32:18,1773.2,496,9.998,HEAVY,1.00,256
167.93,06:32:18,1968.4,482,10.002,HEAVY,1.00,256
168.43,06:32:19,2169.2,444,9.999,HEAVY,1.00,256
168.95,06:32:19,2370.6,462,9.995,HEAVY,1.00,256
169.45,06:32:20,2506.6,480,10.001,HEAVY,1.00,256
169.96,06:32:20,2625.3,433,9.999,HEAVY,1.00,256
170.46,06:32:21,2765.8,486,10.007,HEAVY,1.00,256
170.96,06:32:21,2804.0,453,10.000,HEAVY,1.00,256
171.47,06:32:22,3157.4,481,9.997,HEAVY,1.00,256
171.98,06:32:22,3364.9,468,10.004,HEAVY,1.00,256
172.48,06:32:23,3450.3,465,9.996,HEAVY,1.00,256
172.98,06:32:23,3550.6,427,10.004,HEAVY,1.00,256
173.49,06:32:24,3161.3,412,9.998,HEAVY,1.00,256
173.99,06:32:24,3451.0,388,9.998,HEAVY,1.00,256
174.50,06:32:25,3754.6,476,10.000,HEAVY,1.00,256
175.01,06:32:25,3967.0,469,10.002,HEAVY,1.00,256
175.51,06:32:26,4170.9,476,10.001,HEAVY,1.00,256
176.02,06:32:26,3895.1,406,9.998,HEAVY,1.00,256
176.52,06:32:27,4118.2,466,10.003,HEAVY,1.00,256
177.02,06:32:27,4232.9,467,9.995,HEAVY,1.00,256
177.53,06:32:28,4203.9,433,9.996,HEAVY,1.00,256
178.05,06:32:28,4111.5,463,10.001,HEAVY,1.00,256
178.55,06:32:29,4103.0,416,10.005,HEAVY,1.00,256
179.06,06:32:29,3888.2,464,9.994,HEAVY,1.00,256
179.56,06:32:30,4189.6,487,10.006,HEAVY,1.00,256
180.07,06:32:30,4391.7,447,9.995,HEAVY,1.00,256
180.57,06:32:31,4595.5,399,10.006,HEAVY,1.00,256
181.08,06:32:31,4800.9,469,10.002,HEAVY,1.00,256
181.59,06:32:32,5012.2,409,9.998,HEAVY,1.00,256
182.09,06:32:32,4315.8,428,9.997,HEAVY,1.00,256
182.60,06:32:33,4494.7,446,10.002,HEAVY,1.00,256
183.10,06:32:33,4524.1,457,10.004,HEAVY,1.00,256
183.60,06:32:34,4320.9,441,9.999,HEAVY,1.00,256
184.11,06:32:34,4172.3,422,10.001,HEAVY,1.00,256
184.62,06:32:35,3656.5,435,9.997,HEAVY,1.00,256
185.12,06:32:35,3113.9,484,9.998,HEAVY,1.00,256
185.63,06:32:36,3264.3,469,10.006,HEAVY,1.00,256
186.13,06:32:36,3175.9,459,9.999,HEAVY,1.00,256
186.63,06:32:37,3386.6,424,10.002,HEAVY,1.00,256
187.14,06:32:38,1582.4,447,9.997,HEAVY,1.00,256
187.65,06:32:38,2239.3,448,10.003,HEAVY,1.00,256
188.15,06:32:39,2440.6,406,10.001,HEAVY,1.00,256
188.66,06:32:39,2422.1,436,9.994,HEAVY,1.00,256
189.16,06:32:40,2480.3,483,10.007,HEAVY,1.00,256
189.66,06:32:40,2694.6,452,9.998,HEAVY,1.00,256
190.17,06:32:41,2910.6,453,9.998,HEAVY,1.00,256
190.68,06:32:41,3102.1,432,10.001,HEAVY,1.00,256
191.18,06:32:42,2848.2,440,10.003,HEAVY,1.00,256
191.68,06:32:42,3140.0,481,9.997,HEAVY,1.00,256
192.19,06:32:43,2216.1,0,6.683,HEAVY,1.00,256
192.69,06:32:43,0.0,0,0.000,NORMAL,1.00,256
193.20,06:32:44,0.0,0,0.000,NORMAL,1.00,256
193.71,06:32:44,0.0,0,0.000,NORMAL,1.00,256
194.21,06:32:45,0.0,0,0.000,NORMAL,1.50,288
194.73,06:32:45,0.0,0,0.000,NORMAL,1.50,288
195.24,06:32:46,0.0,0,0.000,NORMAL,1.50,288
195.74,06:32:46,0.0,0,0.000,NORMAL,1.50,288
196.24,06:32:47,0.0,0,0.000,NORMAL,1.50,288
196.75,06:32:47,0.0,0,0.000,NORMAL,1.50,288
197.25,06:32:48,0.0,0,0.000,NORMAL,2.00,320
197.77,06:32:48,0.0,0,0.000,NORMAL,2.00,320
198.27,06:32:49,0.0,0,0.000,NORMAL,2.00,320
198.78,06:32:49,0.0,0,0.000,NORMAL,2.00,320
199.28,06:32:50,0.0,0,0.000,NORMAL,2.00,320
199.79,06:32:50,0.0,0,0.000,NORMAL,2.00,320
200.29,06:32:51,0.0,0,0.000,NORMAL,2.50,352
200.81,06:32:51,0.0,0,0.000,NORMAL,2.50,352
201.31,06:32:52,0.0,0,0.000,NORMAL,2.50,352
201.81,06:32:52,0.0,0,0.000,NORMAL,2.50,352
202.32,06:32:53,0.0,0,0.000,NORMAL,2.50,352
202.82,06:32:53,0.0,0,0.000,NORMAL,2.50,352
203.33,06:32:54,0.0,0,0.000,NORMAL,3.00,384
203.84,06:32:54,0.0,0,0.000,NORMAL,3.00,384
204.35,06:32:55,0.0,0,0.000,NORMAL,3.00,384
204.85,06:32:55,0.0,0,0.000,NORMAL,3.00,384
205.36,06:32:56,0.0,0,0.000,NORMAL,3.00,384
205.86,06:32:56,0.0,0,0.000,NORMAL,3.00,384
206.36,06:32:57,0.0,0,0.000,NORMAL,3.50,416
206.87,06:32:57,0.0,0,0.000,NORMAL,3.50,416
207.45,06:32:58,0.0,0,0.000,NORMAL,3.50,416
207.96,06:32:58,0.0,0,0.000,NORMAL,3.50,416
208.46,06:32:59,0.0,0,0.000,NORMAL,3.50,416
208.97,06:32:59,0.0,0,0.000,NORMAL,3.50,416
209.47,06:33:00,0.0,0,0.000,NORMAL,4.00,448
209.99,06:33:00,0.0,0,0.000,NORMAL,4.00,448
210.49,06:33:01,0.0,0,0.000,NORMAL,4.00,448
211.11,06:33:01,0.0,0,0.000,NORMAL,4.00,448
211.62,06:33:02,0.0,0,0.000,NORMAL,4.00,448
212.12,06:33:02,0.0,0,0.000,NORMAL,4.00,448
212.63,06:33:03,0.0,0,0.000,NORMAL,4.50,480
213.14,06:33:04,0.0,0,0.000,NORMAL,4.50,480
213.65,06:33:04,0.0,0,0.000,NORMAL,4.50,480
214.15,06:33:05,0.0,0,0.000,NORMAL,4.50,480
214.66,06:33:05,0.0,0,0.000,NORMAL,4.50,480
