t_s,drop_rate_per_s,drops_experiment,backlog_pkts,throughput_mbps,state,target_ms,interval_ms,limit_pkts
51.98,16083.7068,651050,250,10.0032,HEAVY,1.00,50.0,256
52.48,14246.7253,658249,237,9.9987,HEAVY,1.00,50.0,256
52.99,14893.5618,665766,253,10.0005,HEAVY,1.00,50.0,256
53.49,13343.7499,672489,255,9.9955,HEAVY,1.00,50.0,256
53.99,16069.8950,680601,251,10.0005,HEAVY,1.00,50.0,256
54.50,15591.6995,688463,249,10.0010,HEAVY,1.00,50.0,256
55.00,18150.8594,697604,248,10.0015,HEAVY,1.00,50.0,256
55.51,18270.6214,706805,234,10.0034,HEAVY,1.00,50.0,256
56.01,15679.5929,714698,232,9.9980,HEAVY,1.00,50.0,256
56.51,17614.0750,723578,244,9.9988,HEAVY,1.00,50.0,256
57.02,19620.3372,733454,235,10.0012,HEAVY,1.00,50.0,256
57.52,17339.1584,742210,251,9.9936,HEAVY,1.00,50.0,256
58.03,18167.8158,751355,234,10.0080,HEAVY,1.00,50.0,256
58.53,20493.2644,761675,252,9.9995,HEAVY,1.00,50.0,256
59.03,19543.2580,771519,233,9.9987,HEAVY,1.00,50.0,256
59.54,15828.2589,779493,252,9.9996,HEAVY,1.00,50.0,256
60.04,16615.5314,787870,238,9.9983,HEAVY,1.00,50.0,256
60.54,18171.7705,797034,244,10.0010,HEAVY,1.00,50.0,256
61.05,12102.9827,803149,240,9.9961,HEAVY,1.00,50.0,256
61.56,13608.6477,810024,230,10.0031,HEAVY,1.00,50.0,256
62.06,15562.8686,817882,250,9.9991,HEAVY,1.00,50.0,256
62.57,13382.1292,824637,249,10.0040,HEAVY,1.00,50.0,256
63.07,14956.2986,832165,245,10.0002,HEAVY,1.00,50.0,256
63.57,16044.6241,840239,254,9.9996,HEAVY,1.00,50.0,256
64.08,16373.8769,848497,253,9.9971,HEAVY,1.00,50.0,256
64.58,17827.1947,857470,245,10.0023,HEAVY,1.00,50.0,256
65.08,18188.4561,866638,250,9.9976,HEAVY,1.00,50.0,256
65.59,19224.2754,876346,253,10.0019,HEAVY,1.00,50.0,256
66.09,20786.6878,886832,235,9.9975,HEAVY,1.00,50.0,256
66.60,21488.7272,897651,239,10.0037,HEAVY,1.00,50.0,256
67.10,18149.9488,906825,246,9.9979,HEAVY,1.00,50.0,256
67.61,15993.7392,914882,231,10.0005,HEAVY,1.00,50.0,256
68.11,14180.5973,922020,238,9.9985,HEAVY,1.00,50.0,256
68.61,13841.8208,928992,237,10.0038,HEAVY,1.00,50.0,256
69.12,15163.7215,936638,249,9.9957,HEAVY,1.00,50.0,256
69.62,17860.6975,945635,252,10.0018,HEAVY,1.00,50.0,256
70.12,17345.6321,954378,255,9.9996,HEAVY,1.00,50.0,256
70.63,14526.3760,961697,235,10.0024,HEAVY,1.00,50.0,256
71.13,9785.0940,966652,244,9.9919,HEAVY,1.00,50.0,256
71.64,11219.2949,972300,240,10.0079,HEAVY,1.00,50.0,256
72.14,14192.9973,979441,242,10.0007,HEAVY,1.00,50.0,256
72.65,15172.6588,987107,245,9.9936,HEAVY,1.00,50.0,256
73.15,16509.3752,995427,243,10.0056,HEAVY,1.00,50.0,256
73.66,18522.8167,1004780,237,9.9986,HEAVY,1.00,50.0,256
74.16,16789.1574,1013227,245,10.0016,HEAVY,1.00,50.0,256
74.66,15898.9447,1021236,239,9.9994,HEAVY,1.00,50.0,256
75.17,18134.2541,1030366,250,9.9988,HEAVY,1.00,50.0,256
75.67,19289.8920,1040092,249,9.9949,HEAVY,1.00,50.0,256
76.17,20934.4135,1050642,240,10.0079,HEAVY,1.00,50.0,256
76.68,19770.1844,1060596,247,9.9993,HEAVY,1.00,50.0,256
77.18,17988.5027,1069666,244,9.9968,HEAVY,1.00,50.0,256
77.69,17453.9896,1078464,250,9.9940,HEAVY,1.00,50.0,256
78.19,18299.7574,1087685,255,10.0060,HEAVY,1.00,50.0,256
78.69,19006.7708,1097283,237,9.9969,HEAVY,1.00,50.0,256
79.20,16254.5611,1105498,251,10.0022,HEAVY,1.00,50.0,256
79.70,15031.6558,1113077,245,10.0018,HEAVY,1.00,50.0,256
80.21,16113.4286,1121183,249,10.0025,HEAVY,1.00,50.0,256
80.71,13025.4440,1127752,244,9.9974,HEAVY,1.00,50.0,256
81.22,13575.1198,1134606,238,9.9987,HEAVY,1.00,50.0,256
81.72,16271.9012,1142817,253,9.9968,HEAVY,1.00,50.0,256
82.22,16347.5366,1151048,241,10.0042,HEAVY,1.00,50.0,256
82.73,17732.0673,1159979,233,10.0010,HEAVY,1.00,50.0,256
83.23,18326.2974,1169210,253,9.9970,HEAVY,1.00,50.0,256
83.74,19047.0741,1178797,245,10.0047,HEAVY,1.00,50.0,256
84.24,16277.2792,1187004,251,9.9966,HEAVY,1.00,50.0,256
84.74,17794.1012,1195964,248,10.0038,HEAVY,1.00,50.0,256
85.25,18465.6030,1205260,241,10.0004,HEAVY,1.00,50.0,256
85.75,18600.5762,1214639,234,9.9934,HEAVY,1.00,50.0,256
86.25,20308.9975,1224875,241,10.0049,HEAVY,1.00,50.0,256
86.76,15961.1247,1232925,249,9.9978,HEAVY,1.00,50.0,256
87.26,16471.7422,1241221,236,10.0023,HEAVY,1.00,50.0,256
87.77,12455.9178,1247523,0,8.1643,HEAVY,1.00,50.0,256
88.28,0.0000,1247523,0,0.0000,NORMAL,1.00,50.0,256
88.79,0.0000,1247523,0,0.0000,NORMAL,1.00,50.0,256
89.29,0.0000,1247523,0,0.0000,NORMAL,1.00,50.0,256
89.80,0.0000,1247523,0,0.0000,NORMAL,1.00,50.0,256
90.31,0.0000,1247523,0,0.0000,NORMAL,1.00,50.0,256
