t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
104.68,4.2,158.9,9,9.987,0.01,4.84,993
105.18,4.2,157.1,12,10.02,0.01,4.84,993
105.68,4.2,165.0,13,9.969,0.01,4.84,993
106.18,4.3,131.1,14,10.036,0.01,4.84,993
106.69,4.3,148.9,12,9.976,0.01,4.84,993
107.19,4.3,176.9,13,10.014,0.01,4.84,993
107.7,4.3,169.0,15,9.996,0.01,4.84,993
108.2,4.3,168.9,11,10.014,0.01,4.84,993
108.7,4.3,170.9,8,9.991,0.01,4.84,993
109.2,4.4,165.0,13,9.991,0.01,4.84,993
109.71,4.4,157.1,15,10.021,0.01,4.84,993
110.21,4.4,151.1,15,9.97,0.01,4.84,993
110.71,4.4,137.1,15,10.011,0.01,4.84,993
111.22,4.4,157.1,10,9.995,0.01,4.84,993
111.72,4.4,178.9,12,10.016,0.01,4.84,993
112.22,4.5,137.2,10,9.992,0.01,4.84,993
112.73,4.5,143.1,11,10.016,0.01,4.84,993
113.23,4.5,165.0,15,9.993,0.01,4.84,993
113.73,4.5,149.0,15,9.985,0.01,4.84,993
114.23,4.5,153.1,10,10.019,0.01,4.84,993
114.74,4.5,159.0,8,9.991,0.01,4.84,993
115.24,4.5,158.9,12,10.011,0.01,4.84,993
115.74,4.6,147.1,16,9.968,0.01,4.84,993
116.25,4.6,164.9,13,9.987,0.01,4.84,993
116.75,4.6,169.1,14,10.025,0.01,4.84,993
117.25,4.6,161.0,18,10.017,0.01,4.84,993
117.76,4.6,151.1,14,9.993,0.01,4.84,993
118.26,4.7,163.0,15,9.989,0.01,4.84,993
118.76,4.7,145.1,14,10.018,0.01,4.84,993
119.27,4.7,172.9,14,9.988,0.01,4.84,993
119.77,4.7,184.7,13,10.007,0.01,4.84,993
