t_s,backlog_pkts,target_ms,drop_rate,throughput_mbps,sojourn_ms
351.1,14,5.0,101.7,10.007,15.67
352.1,13,5.0,110.7,9.998,14.56
353.1,14,5.0,93.7,9.998,15.68
354.1,14,5.0,98.7,10.003,15.68
355.1,17,5.0,87.7,9.997,19.05
356.1,16,5.0,99.7,10.001,17.92
357.1,16,5.0,105.7,9.997,17.93
358.1,14,5.0,105.7,9.999,15.68
359.1,10,5.0,98.6,10.003,11.2
360.1,18,5.0,95.7,9.999,20.16
361.1,16,5.0,99.7,9.999,17.92
362.1,13,5.0,97.7,9.998,14.56
363.1,9,5.0,108.6,9.996,10.08
364.1,13,5.0,94.7,10.01,14.55
365.2,14,5.0,97.7,9.999,15.68
366.2,17,5.0,89.7,9.996,19.05
367.2,14,5.0,92.7,9.998,15.68
368.2,16,5.0,103.7,10.012,17.9
369.2,13,5.0,92.7,9.993,14.57
370.2,13,5.0,102.7,9.999,14.56
371.2,10,5.0,97.7,9.996,11.2
372.2,12,5.0,104.7,10.011,13.43
373.2,14,5.0,90.7,9.998,15.68
374.2,15,5.0,105.6,9.995,16.81
375.2,0,5.0,102.7,9.998,0.0
376.2,17,5.0,93.7,9.998,19.04
377.2,13,5.0,100.7,10.011,14.54
378.2,0,5.0,91.7,9.993,0.0
379.2,16,5.0,86.7,10.007,17.91
380.2,14,5.0,94.7,9.988,15.7
381.2,15,5.0,93.7,10.01,16.78
382.2,17,5.0,97.7,10.001,19.04
383.2,15,5.0,109.7,9.998,16.8
384.2,14,5.0,101.7,9.997,15.69
385.2,15,5.0,111.6,9.996,16.81
386.2,16,5.0,91.7,9.999,17.92
387.2,14,5.0,104.7,10.009,15.67
388.2,11,5.0,101.7,9.999,12.32
389.2,15,5.0,96.7,9.998,16.8
390.2,11,5.0,105.7,9.997,12.32
391.2,17,5.0,104.7,9.999,19.04
392.2,15,5.0,93.7,9.996,16.81
393.2,15,5.0,88.7,10.009,16.78
394.2,16,5.0,97.7,9.986,17.95
395.2,15,5.0,101.7,9.999,16.8
396.2,12,5.0,93.7,10.009,13.43
397.3,14,5.0,86.7,10.008,15.67
398.3,12,5.0,98.6,9.98,13.47
399.3,15,5.0,94.7,10.02,16.77
400.3,17,5.0,87.8,10.001,19.04
401.3,21,5.0,95.7,9.998,23.52
402.3,17,5.0,99.8,9.993,19.05
403.3,16,5.0,100.7,10.004,17.91
404.3,13,5.0,103.7,9.999,14.56
405.3,17,5.0,90.7,9.998,19.04
406.3,16,5.0,101.7,10.001,17.92
407.3,15,5.0,100.7,9.997,16.81
408.3,14,5.0,98.7,9.988,15.7
409.3,15,5.0,95.7,10.017,16.77
410.3,15,5.0,96.7,9.995,16.81
411.3,13,5.0,99.7,10.011,14.54
412.3,14,5.0,97.7,9.994,15.69
413.3,14,5.0,104.7,9.996,15.69
414.3,13,5.0,100.7,10.009,14.55
415.3,13,5.0,105.7,9.997,14.56
416.3,13,5.0,92.7,9.982,14.59
417.3,16,5.0,96.7,10.011,17.9
418.3,12,5.0,105.7,10.009,13.43
419.3,16,5.0,91.7,9.996,17.93
420.3,15,5.0,96.7,9.997,16.81
421.3,15,5.0,98.7,10.008,16.79
422.3,11,5.0,104.7,9.984,12.34
423.3,17,5.0,90.7,10.017,19.01
424.3,14,5.0,95.7,9.994,15.69
425.3,12,5.0,112.6,9.985,13.46
426.3,18,5.0,96.7,10.012,20.14
427.3,16,5.0,108.7,10.009,17.9
428.3,15,5.0,103.7,9.997,16.8
429.4,0,5.0,88.7,9.986,0.0
430.4,16,5.0,112.7,10.012,17.9
431.4,18,5.0,105.7,9.996,20.17
432.4,13,5.0,105.7,10.01,14.55
433.4,13,5.0,94.7,9.997,14.56
434.4,19,5.0,98.7,9.999,21.28
435.4,12,5.0,94.7,9.998,13.44
436.4,13,5.0,95.7,9.997,14.56
437.4,17,5.0,95.7,9.998,19.04
438.4,10,5.0,109.7,10.011,11.19
439.4,14,5.0,100.7,10.001,15.68
440.4,0,5.0,92.7,9.995,0.0
441.4,15,5.0,94.7,9.994,16.81
442.4,16,5.0,100.6,10.005,17.91
443.4,16,5.0,93.7,9.995,17.93
444.4,11,5.0,92.7,10.0,12.32
445.4,13,5.0,94.7,10.0,14.56
446.4,14,5.0,94.7,9.989,15.7
447.4,15,5.0,84.7,10.01,16.78
448.4,14,5.0,94.7,10.0,15.68
449.4,15,5.0,104.7,10.009,16.79
450.4,19,5.0,96.7,9.994,21.29
451.4,12,5.0,104.7,9.987,13.46
452.4,18,5.0,88.7,10.01,20.14
453.4,16,5.0,97.7,10.009,17.9
454.4,12,5.0,108.6,9.996,13.45
455.4,9,5.0,95.7,9.994,10.09
456.4,15,5.0,95.7,10.009,16.79
