t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
284.2,12,18168,0.999,256,300,172.3,10.001,13.44
285.2,12,18168,0.999,256,300,175.8,9.998,13.44
286.2,13,22710,0.999,256,300,174.5,9.998,14.56
287.2,16,24224,0.999,256,300,177.4,10.009,17.9
288.2,9,13626,0.999,256,300,171.4,9.995,10.09
289.2,14,21196,0.999,256,300,196.4,9.999,15.68
290.2,10,15140,0.999,256,300,195.4,10.009,11.19
291.2,11,18168,0.999,256,300,188.7,9.994,12.33
292.2,10,16654,0.999,256,300,175.4,10.008,11.19
293.2,11,22710,0.999,256,300,187.1,9.993,12.33
294.2,12,19682,0.999,256,300,182.3,10.004,13.43
295.2,8,12112,0.999,256,300,177.5,10.001,8.96
296.2,12,18168,0.999,256,300,170.5,9.997,13.44
297.2,9,13626,0.999,256,300,173.4,9.994,10.09
298.2,14,25738,0.999,256,300,166.5,10.011,15.66
299.2,12,18168,0.999,256,300,185.4,9.997,13.44
300.2,9,16654,0.999,256,300,172.4,9.992,10.09
301.2,10,18168,0.999,256,300,157.5,10.007,11.19
302.2,14,21196,0.999,256,300,172.5,10.001,15.68
303.3,0,0,0.999,256,300,134.6,7.757,0.0
