t,drop_rate,backlog,throughput_mbps,drops_total,state,target_ms,interval_ms,limit
25.80,5396.0551,399,9.999,135724,HEAVY,2.9524500000000002,59.049000000000014,603
26.30,5107.6431,463,9.994,138308,HEAVY,2.9524500000000002,59.049000000000014,603
26.81,5532.6079,396,10.005,141097,HEAVY,2.9524500000000002,59.049000000000014,603
27.31,4871.8061,384,10.001,143555,HEAVY,2.9524500000000002,59.049000000000014,603
27.82,4549.0745,445,9.998,145857,HEAVY,2.9524500000000002,59.049000000000014,603
28.33,5080.9781,468,9.996,148429,HEAVY,2.9524500000000002,59.049000000000014,603
28.83,5098.3162,413,10.007,151000,HEAVY,2.9524500000000002,59.049000000000014,603
29.34,4071.5085,440,9.995,153060,HEAVY,2.9524500000000002,59.049000000000014,603
29.84,3799.7114,445,10.003,154975,HEAVY,2.9524500000000002,59.049000000000014,603
30.35,4446.1873,444,9.995,157242,HEAVY,2.6572050000000003,53.144100000000016,542
30.85,5145.4670,423,10.006,159834,HEAVY,2.6572050000000003,53.144100000000016,542
31.36,5264.7951,437,10.002,162485,HEAVY,2.6572050000000003,53.144100000000016,542
31.86,5966.3608,380,9.994,165492,HEAVY,2.6572050000000003,53.144100000000016,542
32.37,6400.9991,0,9.999,168736,HEAVY,2.6572050000000003,53.144100000000016,542
32.87,6290.4546,401,10.006,171905,HEAVY,2.6572050000000003,53.144100000000016,542
33.37,5882.1461,424,9.999,174865,HEAVY,2.6572050000000003,53.144100000000016,542
33.88,6075.2346,455,9.994,177938,HEAVY,2.6572050000000003,53.144100000000016,542
34.38,6415.5201,424,10.005,181172,HEAVY,2.6572050000000003,53.144100000000016,542
34.89,6936.2636,394,9.999,184667,HEAVY,2.6572050000000003,53.144100000000016,542
35.40,7964.6407,410,10.001,188707,HEAVY,2.3914845000000002,50,487
35.90,8233.1809,392,9.997,192859,HEAVY,2.3914845000000002,50,487
36.40,8889.0748,399,10.004,197339,HEAVY,2.3914845000000002,50,487
36.91,7585.3628,432,9.997,201173,HEAVY,2.3914845000000002,50,487
37.41,7362.0303,315,10.000,204884,HEAVY,2.3914845000000002,50,487
37.92,5538.0557,447,10.000,207681,HEAVY,2.3914845000000002,50,487
38.42,5779.6777,387,10.003,210594,HEAVY,2.3914845000000002,50,487
38.93,5581.2046,373,9.996,213409,HEAVY,2.3914845000000002,50,487
39.43,5501.2278,446,10.002,216180,HEAVY,2.3914845000000002,50,487
39.94,5403.7535,454,9.995,218911,HEAVY,2.3914845000000002,50,487
40.44,11241.1080,347,10.004,224627,HEAVY,2.15233605,50,438
40.95,6504.4290,412,10.000,227908,HEAVY,2.15233605,50,438
41.45,10923.3522,420,9.999,233427,HEAVY,2.15233605,50,438
41.96,9292.7945,376,9.999,238131,HEAVY,2.15233605,50,438
42.46,10094.5611,418,10.006,243221,HEAVY,2.15233605,50,438
42.97,7539.5332,410,9.995,247024,HEAVY,2.15233605,50,438
43.47,6753.0336,408,10.002,250440,HEAVY,2.15233605,50,438
43.98,11390.9530,387,9.996,256198,HEAVY,2.15233605,50,438
44.49,15306.9271,419,10.002,263927,HEAVY,2.15233605,50,438
44.99,8825.9054,369,9.999,268382,HEAVY,2.15233605,50,438
45.50,16250.2653,352,10.004,276631,HEAVY,1.9371024450000003,50,394
46.00,13331.8745,371,9.995,283360,HEAVY,1.9371024450000003,50,394
46.51,14139.4432,361,10.003,290498,HEAVY,1.9371024450000003,50,394
47.01,8579.7956,372,10.001,294830,HEAVY,1.9371024450000003,50,394
47.52,16870.5414,379,9.998,303353,HEAVY,1.9371024450000003,50,394
48.02,15054.3685,393,10.003,310951,HEAVY,1.9371024450000003,50,394
48.53,11215.8718,366,9.996,316610,HEAVY,1.9371024450000003,50,394
49.03,9394.3330,373,10.004,321348,HEAVY,1.9371024450000003,50,394
49.53,9548.6680,0,9.999,326160,HEAVY,1.9371024450000003,50,394
50.04,7859.6713,382,9.995,330129,HEAVY,1.9371024450000003,50,394
50.55,12158.7948,316,10.000,336307,HEAVY,1.7433922005000002,50,354
51.05,10173.8600,327,10.002,341444,HEAVY,1.7433922005000002,50,354
51.56,8965.9054,324,10.000,345974,HEAVY,1.7433922005000002,50,354
52.06,10007.6907,334,9.999,351026,HEAVY,1.7433922005000002,50,354
52.57,13416.5925,329,10.003,357793,HEAVY,1.7433922005000002,50,354
53.07,12120.8486,312,10.001,363898,HEAVY,1.7433922005000002,50,354
53.58,10461.1333,329,9.999,369176,HEAVY,1.7433922005000002,50,354
54.08,12248.3413,337,10.000,375358,HEAVY,1.7433922005000002,50,354
54.58,11762.0429,325,10.000,381282,HEAVY,1.7433922005000002,50,354
55.09,13905.2983,331,9.999,388300,HEAVY,1.7433922005000002,50,354
55.60,18168.9812,297,10.001,397522,HEAVY,1.5690529804500002,50,318
56.10,14771.4822,283,10.000,404973,HEAVY,1.5690529804500002,50,318
56.61,13632.6906,302,9.998,411857,HEAVY,1.5690529804500002,50,318
57.11,7912.4534,312,9.999,415860,HEAVY,1.5690529804500002,50,318
57.62,8143.2636,306,9.995,419984,HEAVY,1.5690529804500002,50,318
58.12,8804.7206,311,10.002,424431,HEAVY,1.5690529804500002,50,318
58.63,13030.7805,291,10.005,431014,HEAVY,1.5690529804500002,50,318
59.13,13900.9977,296,10.003,438017,HEAVY,1.5690529804500002,50,318
59.64,13193.3062,298,9.996,444685,HEAVY,1.5690529804500002,50,318
60.14,12924.0060,0,10.005,451188,HEAVY,1.5690529804500002,50,318
60.65,21678.0073,275,9.996,462182,HEAVY,1.412147682405,50,286
61.15,20738.7926,271,10.004,472613,HEAVY,1.412147682405,50,286
61.65,16043.5189,272,9.999,480693,HEAVY,1.412147682405,50,286
62.16,11592.3367,270,9.995,486555,HEAVY,1.412147682405,50,286
62.66,10127.9286,279,10.002,491666,HEAVY,1.412147682405,50,286
63.17,10504.5733,278,9.999,496969,HEAVY,1.412147682405,50,286
63.68,12482.9535,286,9.992,503284,HEAVY,1.412147682405,50,286
64.18,11746.1254,270,10.009,509212,HEAVY,1.412147682405,50,286
64.68,14245.3052,260,10.001,516385,HEAVY,1.412147682405,50,286
65.19,14702.2926,267,9.998,523813,HEAVY,1.412147682405,50,286
65.70,0.0000,0,0.000,0,NORMAL,1.2709329141645,50,257
66.20,0.0000,0,0.001,0,NORMAL,1.2709329141645,50,257
66.70,0.0000,0,0.003,0,NORMAL,1.2709329141645,50,257
67.21,0.0000,0,0.003,0,NORMAL,1.2709329141645,50,257
67.71,0.0000,0,0.000,0,NORMAL,1.2709329141645,50,257
68.22,0.0000,0,0.001,0,NORMAL,1.2709329141645,50,257
68.72,0.0000,0,0.000,0,NORMAL,1.2709329141645,50,257
69.23,0.0000,0,0.000,0,NORMAL,1.2709329141645,50,257
69.73,0.0000,0,0.000,0,NORMAL,1.2709329141645,50,257
70.23,0.0000,0,0.000,0,NORMAL,1.2709329141645,50,257
70.74,0.0000,0,0.000,0,NORMAL,1.2709329141645,50,257
71.24,0.0000,0,0.001,0,NORMAL,1.2709329141645,50,257
71.74,0.0000,0,0.001,0,NORMAL,1.2709329141645,50,257
72.25,0.0000,0,0.000,0,NORMAL,1.2709329141645,50,257
72.75,0.0000,0,0.000,0,NORMAL,1.2709329141645,50,257
73.25,0.0000,0,0.000,0,NORMAL,1.2709329141645,50,257
73.76,0.0000,0,0.000,0,NORMAL,1.2709329141645,50,257
