t_s,drop_rate_per_s,drops_exp,backlog_pkts,throughput_mbps,rtt_proxy_ms,active_flows,elephant_flows,mice_flows,elephant_ratio,regime,trajectory,predicted_regime,workload_profile,target_ms,interval_ms,limit_pkts,quantum_bytes,ebpf_pkts,ebpf_bytes
54.285,66136.0894,731149,322,9.9986,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.74,50.0,354,300,0,0
54.793,54372.2205,758801,330,10.0011,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.74,50.0,354,300,0,0
55.302,57762.7713,788175,332,10.0019,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.74,50.0,354,300,0,0
55.812,65947.7506,821802,353,9.9977,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.74,50.0,354,300,0,0
56.321,48378.8366,846449,349,10.0002,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,1.74,50.0,354,300,0,0
56.833,96767.0711,896003,303,10.0002,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
57.344,100754.8486,947507,289,9.9975,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
57.855,101577.3827,999339,304,10.0029,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
58.364,99105.9405,1049781,316,9.9983,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
58.874,93816.9097,1097648,310,10.0029,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
59.383,93709.8850,1145358,0,9.9995,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
59.893,97922.2032,1195335,311,9.9967,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
60.403,97451.3175,1244994,311,10.0041,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
60.914,93847.5721,1292958,315,9.9983,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
61.423,101806.0771,1344829,316,10.0013,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,1.57,50.0,318,300,0,0
61.937,120183.4586,1406562,280,9.9986,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
62.450,124528.4385,1470448,280,9.9976,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
62.964,126894.7115,1535594,281,9.9998,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
63.475,125355.1078,1599698,284,10.0031,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
63.987,127604.7867,1664987,279,9.9996,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
64.500,123316.9429,1728262,254,9.9897,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
65.010,125325.9963,1792175,258,10.0120,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
65.522,122484.2423,1854883,284,9.9945,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
66.035,125446.9740,1919237,274,9.9991,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
66.548,128588.7347,1985188,270,9.9972,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
67.068,128211.0385,2051916,242,10.0019,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
67.582,132437.1591,2119961,241,10.0001,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
68.095,129583.0780,2186502,251,10.0027,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
68.608,133803.2763,2255087,237,9.9990,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
69.121,129803.2667,2321668,256,10.0023,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
69.633,133545.9665,2390036,255,9.9960,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
70.147,130909.8806,2457411,256,9.9975,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
70.660,128394.9331,2523284,252,9.9981,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
71.175,131645.4364,2591008,254,10.0090,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
