t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
103.5,140.5,8312.8,403,9.999,0.21,3.4,716
104.0,141.0,9143.3,383,9.997,0.21,3.4,716
104.51,141.5,9359.7,396,10.004,0.21,3.4,716
105.01,142.1,8001.5,472,9.998,0.21,3.4,716
105.52,142.7,7005.9,416,10.004,0.21,3.4,716
106.02,143.4,7310.6,485,9.995,0.22,3.24,686
106.53,143.9,8263.4,433,10.002,0.22,3.24,686
107.04,144.6,8651.0,452,9.997,0.22,3.24,686
107.54,145.1,8676.4,406,10.006,0.22,3.24,686
108.05,145.7,7308.7,449,9.996,0.22,3.24,686
108.55,146.3,7266.3,460,9.998,0.22,3.24,686
109.06,146.9,7683.8,418,10.005,0.22,3.24,686
109.56,147.4,7427.9,399,9.995,0.22,3.24,686
110.07,148.0,7176.6,457,10.0,0.22,3.24,686
110.57,148.6,6991.5,451,10.001,0.22,3.24,686
111.08,149.1,6671.1,404,10.003,0.23,3.16,670
111.59,148.8,7501.0,0,9.999,0.23,3.16,670
112.09,149.4,7594.2,459,9.998,0.23,3.16,670
112.6,150.0,7307.5,443,10.001,0.23,3.16,670
113.1,150.4,8251.8,372,9.998,0.23,3.16,670
113.61,151.0,8064.0,403,10.004,0.23,3.16,670
114.11,150.7,8710.3,0,10.002,0.23,3.16,670
